SimulationName,Site,CurrentSeason,Season,BudBurstDOY,FloweringDOY,VeraisonDOY,CurrentStageName,previous.season
PhenoTestClimateSite1001_BRA.met,Booker,2004,2004-2005,278,169,55,Veraison,2003-2004
PhenoTestClimateSite1001_BRA.met,Booker,2005,2005-2006,272,158,30,Veraison,2004-2005
PhenoTestClimateSite1001_BRA.met,Booker,2006,2006-2007,281,166,48,Veraison,2005-2006
PhenoTestClimateSite1001_BRA.met,Booker,2007,2007-2008,280,163,42,Veraison,2006-2007
PhenoTestClimateSite1001_BRA.met,Booker,2008,2008-2009,276,164,50,Veraison,2007-2008
PhenoTestClimateSite1001_BRA.met,Booker,2009,2009-2010,282,173,56,Veraison,2008-2009
PhenoTestClimateSite1001_BRA.met,Booker,2010,2010-2011,286,164,44,Veraison,2009-2010
PhenoTestClimateSite1001_BRA.met,Booker,2011,2011-2012,293,177,56,Veraison,2010-2011
PhenoTestClimateSite1001_BRA.met,Booker,2012,2012-2013,287,170,47,Veraison,2011-2012
PhenoTestClimateSite1001_BRA.met,Booker,2013,2013-2014,277,157,35,Veraison,2012-2013
PhenoTestClimateSite1001_BRA.met,Booker,2014,2014-2015,282,168,39,Veraison,2013-2014
PhenoTestClimateSite1001_BRA.met,Booker,2015,2015-2016,284,161,44,Veraison,2014-2015
PhenoTestClimateSite1001_BRA.met,Booker,2016,2016-2017,282,166,50,Veraison,2015-2016
PhenoTestClimateSite1001_BRA.met,Booker,2017,2017-2018,275,161,38,Veraison,2016-2017
PhenoTestClimateSite1001_BRA.met,Booker,2018,2018-2019,278,162,37,Veraison,2017-2018
PhenoTestClimateSite1001_BRA.met,Booker,2019,2019-2020,283,160,40,Veraison,2018-2019
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2004,2004-2005,282,168,54,Veraison,2003-2004
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2005,2005-2006,270,157,31,Veraison,2004-2005
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2006,2006-2007,278,165,49,Veraison,2005-2006
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2007,2007-2008,280,162,45,Veraison,2006-2007
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2008,2008-2009,277,162,45,Veraison,2007-2008
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2009,2009-2010,281,171,54,Veraison,2008-2009
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2010,2010-2011,287,164,42,Veraison,2009-2010
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2011,2011-2012,289,172,55,Veraison,2010-2011
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2012,2012-2013,284,167,47,Veraison,2011-2012
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2013,2013-2014,276,157,36,Veraison,2012-2013
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2014,2014-2015,276,164,40,Veraison,2013-2014
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2015,2015-2016,284,161,45,Veraison,2014-2015
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2016,2016-2017,281,165,49,Veraison,2015-2016
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2017,2017-2018,282,159,40,Veraison,2016-2017
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2018,2018-2019,279,162,41,Veraison,2017-2018
PhenoTestClimateSite1002_OYB.met,Oyster Bay,2019,2019-2020,283,158,39,Veraison,2018-2019
PhenoTestClimateSite1003_SEA.met,Seaview,2004,2004-2005,278,171,61,Veraison,2003-2004
PhenoTestClimateSite1003_SEA.met,Seaview,2005,2005-2006,266,160,40,Veraison,2004-2005
PhenoTestClimateSite1003_SEA.met,Seaview,2006,2006-2007,274,163,48,Veraison,2005-2006
PhenoTestClimateSite1003_SEA.met,Seaview,2007,2007-2008,276,165,42,Veraison,2006-2007
PhenoTestClimateSite1003_SEA.met,Seaview,2008,2008-2009,276,165,53,Veraison,2007-2008
PhenoTestClimateSite1003_SEA.met,Seaview,2009,2009-2010,274,177,58,Veraison,2008-2009
PhenoTestClimateSite1003_SEA.met,Seaview,2010,2010-2011,279,170,50,Veraison,2009-2010
PhenoTestClimateSite1003_SEA.met,Seaview,2011,2011-2012,291,179,63,Veraison,2010-2011
PhenoTestClimateSite1003_SEA.met,Seaview,2012,2012-2013,278,172,50,Veraison,2011-2012
PhenoTestClimateSite1003_SEA.met,Seaview,2013,2013-2014,277,160,41,Veraison,2012-2013
PhenoTestClimateSite1003_SEA.met,Seaview,2014,2014-2015,274,166,44,Veraison,2013-2014
PhenoTestClimateSite1003_SEA.met,Seaview,2015,2015-2016,278,164,51,Veraison,2014-2015
PhenoTestClimateSite1003_SEA.met,Seaview,2016,2016-2017,277,169,52,Veraison,2015-2016
PhenoTestClimateSite1003_SEA.met,Seaview,2017,2017-2018,275,162,44,Veraison,2016-2017
PhenoTestClimateSite1003_SEA.met,Seaview,2018,2018-2019,274,170,46,Veraison,2017-2018
PhenoTestClimateSite1003_SEA.met,Seaview,2019,2019-2020,273,160,42,Veraison,2018-2019
PhenoTestClimateSite1004_RPC.met,Squire,2004,2004-2005,280,164,56,Veraison,2003-2004
PhenoTestClimateSite1004_RPC.met,Squire,2005,2005-2006,273,157,35,Veraison,2004-2005
PhenoTestClimateSite1004_RPC.met,Squire,2006,2006-2007,273,157,45,Veraison,2005-2006
PhenoTestClimateSite1004_RPC.met,Squire,2007,2007-2008,281,162,43,Veraison,2006-2007
PhenoTestClimateSite1004_RPC.met,Squire,2008,2008-2009,276,160,50,Veraison,2007-2008
PhenoTestClimateSite1004_RPC.met,Squire,2009,2009-2010,276,168,56,Veraison,2008-2009
PhenoTestClimateSite1004_RPC.met,Squire,2010,2010-2011,280,159,41,Veraison,2009-2010
PhenoTestClimateSite1004_RPC.met,Squire,2011,2011-2012,290,170,54,Veraison,2010-2011
PhenoTestClimateSite1004_RPC.met,Squire,2012,2012-2013,280,163,46,Veraison,2011-2012
PhenoTestClimateSite1004_RPC.met,Squire,2013,2013-2014,276,155,36,Veraison,2012-2013
PhenoTestClimateSite1004_RPC.met,Squire,2014,2014-2015,274,161,37,Veraison,2013-2014
PhenoTestClimateSite1004_RPC.met,Squire,2015,2015-2016,278,159,43,Veraison,2014-2015
PhenoTestClimateSite1004_RPC.met,Squire,2016,2016-2017,281,164,44,Veraison,2015-2016
PhenoTestClimateSite1004_RPC.met,Squire,2017,2017-2018,277,161,38,Veraison,2016-2017
PhenoTestClimateSite1004_RPC.met,Squire,2018,2018-2019,272,162,37,Veraison,2017-2018
PhenoTestClimateSite1004_RPC.met,Squire,2019,2019-2020,273,154,35,Veraison,2018-2019
PhenoTestClimateSite1005_VLA.met,Villa Maria,2004,2004-2005,284,167,58,Veraison,2003-2004
PhenoTestClimateSite1005_VLA.met,Villa Maria,2005,2005-2006,275,158,37,Veraison,2004-2005
PhenoTestClimateSite1005_VLA.met,Villa Maria,2006,2006-2007,276,161,45,Veraison,2005-2006
PhenoTestClimateSite1005_VLA.met,Villa Maria,2007,2007-2008,282,162,43,Veraison,2006-2007
PhenoTestClimateSite1005_VLA.met,Villa Maria,2008,2008-2009,280,164,54,Veraison,2007-2008
PhenoTestClimateSite1005_VLA.met,Villa Maria,2009,2009-2010,282,171,58,Veraison,2008-2009
PhenoTestClimateSite1005_VLA.met,Villa Maria,2010,2010-2011,287,164,43,Veraison,2009-2010
PhenoTestClimateSite1005_VLA.met,Villa Maria,2011,2011-2012,296,175,62,Veraison,2010-2011
PhenoTestClimateSite1005_VLA.met,Villa Maria,2012,2012-2013,286,169,52,Veraison,2011-2012
PhenoTestClimateSite1005_VLA.met,Villa Maria,2013,2013-2014,278,157,41,Veraison,2012-2013
