year,month,day,hour,mean.ta,mean.rh,radiation.MJ.m2,rainTotal.mm,mean.wind.speed.m.s,mean.solar.rad.w.m2
2015,1,1,0,15.9,73,0,0,11.4,0
2015,1,1,1,16.1,68,0,0,13.4,0
2015,1,1,2,16.2,65,0,0,9.1,0
2015,1,1,3,15.6,67,0,0,3.5,0
2015,1,1,4,14.7,70,0,0,2.6,0
2015,1,1,5,15.2,69,0.01,0,4.5,2.777777778
2015,1,1,6,15,71,0.17,0,3.4,47.22222222
2015,1,1,7,15.7,66,0.5,0,2.2,138.8888889
2015,1,1,8,16.9,53,1.27,0,5.3,352.7777778
2015,1,1,9,18.3,49,2.16,0,5.4,600
2015,1,1,10,17,58,1.22,0,6.3,338.8888889
2015,1,1,11,17.6,57,1.22,0,4.4,338.8888889
2015,1,1,12,17.1,58,0.73,0,4.1,202.7777778
2015,1,1,13,17.6,56,0.92,0,3,255.5555556
2015,1,1,14,18.6,52,1.87,0,4,519.4444444
2015,1,1,15,18.4,46,1.53,0,4.1,425
2015,1,1,16,19.4,38,2.31,0,4.5,641.6666667
2015,1,1,17,19.8,37,2.23,0,4.1,619.4444444
2015,1,1,18,18.8,38,1.39,0,4.3,386.1111111
2015,1,1,19,17.8,40,0.72,0,4.1,200
2015,1,1,20,15.5,48,0.15,0,3.3,41.66666667
2015,1,1,21,12.4,63,0,0,2.7,0
2015,1,1,22,10.8,72,0,0,2.5,0
2015,1,1,23,9.9,76,0,0,2.7,0
2015,1,2,0,9,80,0,0,2.4,0
2015,1,2,1,8.8,82,0,0,2.5,0
2015,1,2,2,8.1,85,0,0,1.9,0
2015,1,2,3,6.8,88,0,0,1.4,0
2015,1,2,4,6.3,92,0,0,1.4,0
2015,1,2,5,5.9,93,0.01,0,1.2,2.777777778
2015,1,2,6,6.5,94,0.14,0,1.3,38.88888889
2015,1,2,7,10.4,87,1.01,0,1.5,280.5555556
2015,1,2,8,14.6,72,1.65,0,1.6,458.3333333
2015,1,2,9,18,58,2.43,0,1.3,675
2015,1,2,10,21.2,46,2.88,0,4.7,800
2015,1,2,11,23.1,38,3.46,0,7,961.1111111
2015,1,2,12,23.8,34,3.75,0,7.9,1041.666667
2015,1,2,13,24.1,28,3.13,0,7,869.4444444
2015,1,2,14,24.2,26,3.06,0,6.7,850
2015,1,2,15,24.7,28,3.46,0,5.5,961.1111111
2015,1,2,16,24.3,27,2.49,0,5,691.6666667
2015,1,2,17,23.8,29,1.98,0,4.7,550
2015,1,2,18,22.5,34,1.03,0,4.1,286.1111111
2015,1,2,19,21.1,42,0.72,0,3.3,200
2015,1,2,20,18.8,51,0.13,0,3.1,36.11111111
2015,1,2,21,15.6,64,0,0,2.9,0
2015,1,2,22,13.4,70,0,0,2.3,0
2015,1,2,23,12.3,73,0,0,2.3,0
2015,1,3,0,13.4,72,0,0,3,0
2015,1,3,1,12.3,77,0,0,1.6,0
2015,1,3,2,10.5,86,0,0,1.4,0
2015,1,3,3,10.2,85,0,0,0.5,0
2015,1,3,4,9.3,88,0,0,0.7,0
2015,1,3,5,8.7,91,0.01,0,1.2,2.777777778
2015,1,3,6,9.8,92,0.15,0,0.8,41.66666667
2015,1,3,7,11.4,87,0.24,0,0.8,66.66666667
2015,1,3,8,12.4,91,0.42,0.3,1.6,116.6666667
2015,1,3,9,15.1,88,1.42,0,1.6,394.4444444
2015,1,3,10,18.5,69,2.57,0,1.9,713.8888889
2015,1,3,11,-,-,1.95,0,4.9,541.6666667
2015,1,3,12,-,-,2.11,0,7.2,586.1111111
2015,1,3,13,-,-,3.04,0,6.6,844.4444444
2015,1,3,14,-,-,3.15,0,7.2,875
2015,1,3,15,-,-,3.07,0,8,852.7777778
2015,1,3,16,-,-,2.08,0,6,577.7777778
2015,1,3,17,-,-,1.41,0,5.1,391.6666667
2015,1,3,18,-,-,1.29,0,5,358.3333333
2015,1,3,19,-,-,0.62,0,3.7,172.2222222
2015,1,3,20,-,-,0.13,0,1.8,36.11111111
2015,1,3,21,13,-,0,0,0.8,0
2015,1,3,22,11.1,-,0,0,1,0
2015,1,3,23,-,-,0,0,1.7,0
2015,1,4,0,10.6,99,0,0,1.5,0
2015,1,4,1,10.2,100,0,0,1.3,0
2015,1,4,2,10,100,0,0,1.8,0
2015,1,4,3,10.3,-,0,0,1.8,0
2015,1,4,4,9.3,-,0,0,1.1,0
2015,1,4,5,8.8,-,0.01,0,1.5,2.777777778
2015,1,4,6,9.8,-,0.12,0,1.6,33.33333333
2015,1,4,7,12.4,-,0.75,0,1.9,208.3333333
2015,1,4,8,16.1,88,1.86,0,1.8,516.6666667
2015,1,4,9,19.7,64,2.39,0,1.3,663.8888889
2015,1,4,10,22.4,52,2.92,0,3,811.1111111
2015,1,4,11,24.5,43,3.25,0,6,902.7777778
2015,1,4,12,25.1,39,3.63,0,7.5,1008.333333
2015,1,4,13,25.8,38,3.62,0,7.4,1005.555556
2015,1,4,14,26.2,35,3.56,0,7.5,988.8888889
2015,1,4,15,26.4,34,3.23,0,6.9,897.2222222
2015,1,4,16,25.9,35,2.69,0,6.8,747.2222222
2015,1,4,17,25.3,35,2.16,0,6.1,600
2015,1,4,18,24.6,34,1.45,0,5.3,402.7777778
2015,1,4,19,23.2,37,0.72,0,4.2,200
2015,1,4,20,20.8,40,0.11,0,3.6,30.55555556
2015,1,4,21,18.7,45,0,0,3.3,0
2015,1,4,22,15.8,58,0,0,1.8,0
2015,1,4,23,12.8,70,0,0,1.1,0
2015,1,5,0,11.2,76,0,0,1.9,0
2015,1,5,1,10.8,74,0,0,2.2,0
2015,1,5,2,11,79,0,0,2.8,0
2015,1,5,3,10.9,82,0,0,2.6,0
2015,1,5,4,10.4,86,0,0,2.8,0
2015,1,5,5,10.6,87,0.01,0,2.6,2.777777778
2015,1,5,6,11.2,87,0.19,0,1.8,52.77777778
2015,1,5,7,13.9,79,0.76,0,0.7,211.1111111
2015,1,5,8,18.3,53,1.67,0,0.9,463.8888889
2015,1,5,9,21.5,40,2.32,0,2.1,644.4444444
2015,1,5,10,24.3,36,2.95,0,6,819.4444444
2015,1,5,11,25.3,38,3.35,0,6.7,930.5555556
2015,1,5,12,25.7,40,3.69,0,5.7,1025
2015,1,5,13,25.4,42,3.72,0,6.8,1033.333333
2015,1,5,14,25.1,44,3.41,0,6.8,947.2222222
2015,1,5,15,25.7,36,3.26,0,6.2,905.5555556
2015,1,5,16,26.4,30,2.72,0,5.4,755.5555556
2015,1,5,17,26,29,2.05,0,6.1,569.4444444
2015,1,5,18,24.6,32,1.47,0,6.4,408.3333333
2015,1,5,19,22.7,37,0.8,0,5.7,222.2222222
2015,1,5,20,20.5,41,0.16,0,4.2,44.44444444
2015,1,5,21,18,46,0,0,3.2,0
2015,1,5,22,15.9,54,0,0,1.4,0
2015,1,5,23,12.3,68,0,0,1.3,0
2015,1,6,0,10.7,74,0,0,1.1,0
2015,1,6,1,10,77,0,0,1.1,0
2015,1,6,2,9.9,80,0,0,1.4,0
2015,1,6,3,9.2,86,0,0,1.4,0
2015,1,6,4,8.7,90,0,0,1.9,0
2015,1,6,5,9.6,92,0.01,0,2.2,2.777777778
2015,1,6,6,10.8,89,0.1,0,1.4,27.77777778
2015,1,6,7,12.8,82,0.95,0,0.7,263.8888889
2015,1,6,8,17.5,65,1.67,0,1.1,463.8888889
