Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error,rmse,r2,cost
Booker,2004,131,351.5788744585007,280,333.5294361368815,278,2,4.415880433163924,0.4485293609846776,1209
Booker,2005,147,351.0561031676092,273,333.63491190592447,272,1,4.415880433163924,0.4485293609846776,1209
Booker,2006,144,351.0979939787139,279,333.5208996582031,281,-2,4.415880433163924,0.4485293609846776,1209
Booker,2007,149,351.76184768124995,282,333.76793047587074,280,2,4.415880433163924,0.4485293609846776,1209
Booker,2008,143,351.56515664629393,280,333.5081927235921,276,4,4.415880433163924,0.4485293609846776,1209
Booker,2009,128,350.8192436450697,275,333.9910074869792,282,-7,4.415880433163924,0.4485293609846776,1209
Booker,2010,149,351.22024874275445,283,333.6110287221273,286,-3,4.415880433163924,0.4485293609846776,1209
Booker,2011,149,350.9887392662891,291,333.5796834055583,293,-2,4.415880433163924,0.4485293609846776,1209
Booker,2012,136,351.22030890629713,278,333.5602357228597,287,-9,4.415880433163924,0.4485293609846776,1209
Booker,2013,159,351.04806027960643,275,333.57644605000814,277,-2,4.415880433163924,0.4485293609846776,1209
Booker,2014,150,351.01135656644414,277,333.5539088439941,282,-5,4.415880433163924,0.4485293609846776,1209
Booker,2015,150,351.0551252641981,282,333.82192428588866,284,-2,4.415880433163924,0.4485293609846776,1209
Booker,2016,149,351.17004463376355,278,333.8698948585205,282,-4,4.415880433163924,0.4485293609846776,1209
Booker,2017,149,351.32203053379396,279,333.587855456014,275,4,4.415880433163924,0.4485293609846776,1209
Booker,2018,151,350.7958155724182,280,333.609453666626,278,2,4.415880433163924,0.4485293609846776,1209
Booker,2019,146,350.89000940576915,273,333.59840219795734,283,-10,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2004,139,351.0515491615807,286,333.62764600118004,282,4,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2005,148,351.0304234289437,273,333.56185020446776,270,3,4.415880433163924,0.4485293609846776,1209
Oyster Bay,2006,149,350.87419520421935,280,333.78475781758624,278,2,4.415880433163924,0.4485293609846776,1209
