day,hour,mean.ta,mean.rh,total.radiation.umol.m2.s,CO2.ppm,mean.wind.speed.m.s,swp.MPa,year,stn.no.
1,0,15.9,0.73,0,400,11.4,-0.2,2015,121
1,1,16.1,0.68,0,400,13.4,-0.2,2015,121
1,2,16.2,0.65,0,400,9.1,-0.2,2015,121
1,3,15.6,0.67,0,400,3.5,-0.2,2015,121
1,4,14.7,0.7,0,400,2.6,-0.2,2015,121
1,5,15.2,0.69,12.638888889899999,400,4.5,-0.2,2015,121
1,6,15,0.71,214.86111110099998,400,3.4,-0.2,2015,121
1,7,15.7,0.66,631.9444444950001,400,2.2,-0.2,2015,121
1,8,16.9,0.53,1605.13888899,400,5.3,-0.2,2015,121
1,9,18.3,0.49,2730,400,5.4,-0.2,2015,121
1,10,17,0.58,1541.944444495,400,6.3,-0.2,2015,121
1,11,17.6,0.57,1541.944444495,400,4.4,-0.2,2015,121
1,12,17.1,0.58,922.6388889899999,400,4.1,-0.2,2015,121
1,13,17.6,0.56,1162.7777779799999,400,3,-0.2,2015,121
1,14,18.6,0.52,2363.4722220199997,400,4,-0.2,2015,121
1,15,18.4,0.46,1933.75,400,4.1,-0.2,2015,121
1,16,19.4,0.38,2919.5833334849995,400,4.5,-0.2,2015,121
1,17,19.8,0.37,2818.4722220199997,400,4.1,-0.2,2015,121
1,18,18.8,0.38,1756.805555505,400,4.3,-0.2,2015,121
1,19,17.8,0.4,910,400,4.1,-0.2,2015,121
1,20,15.5,0.48,189.5833333485,400,3.3,-0.2,2015,121
1,21,12.4,0.63,0,400,2.7,-0.2,2015,121
1,22,10.8,0.72,0,400,2.5,-0.2,2015,121
1,23,9.9,0.76,0,400,2.7,-0.2,2015,121
2,0,9,0.8,0,400,2.4,-0.2,2015,121
2,1,8.8,0.82,0,400,2.5,-0.2,2015,121
2,2,8.1,0.85,0,400,1.9,-0.2,2015,121
2,3,6.8,0.88,0,400,1.4,-0.2,2015,121
2,4,6.3,0.92,0,400,1.4,-0.2,2015,121
2,5,5.9,0.93,12.638888889899999,400,1.2,-0.2,2015,121
2,6,6.5,0.94,176.94444444949997,400,1.3,-0.2,2015,121
2,7,10.4,0.87,1276.5277779799999,400,1.5,-0.2,2015,121
2,8,14.6,0.72,2085.416666515,400,1.6,-0.2,2015,121
2,9,18,0.58,3071.25,400,1.3,-0.2,2015,121
2,10,21.2,0.46,3640,400,4.7,-0.2,2015,121
2,11,23.1,0.38,4373.055555505,400,7,-0.2,2015,121
2,12,23.8,0.34,4739.58333485,400,7.9,-0.2,2015,121
2,13,24.1,0.28,3955.9722220199997,400,7,-0.2,2015,121
2,14,24.2,0.26,3867.5,400,6.7,-0.2,2015,121
2,15,24.7,0.28,4373.055555505,400,5.5,-0.2,2015,121
2,16,24.3,0.27,3147.0833334849995,400,5,-0.2,2015,121
2,17,23.8,0.29,2502.5,400,4.7,-0.2,2015,121
2,18,22.5,0.34,1301.805555505,400,4.1,-0.2,2015,121
2,19,21.1,0.42,910,400,3.3,-0.2,2015,121
2,20,18.8,0.51,164.3055555505,400,3.1,-0.2,2015,121
2,21,15.6,0.64,0,400,2.9,-0.2,2015,121
2,22,13.4,0.7,0,400,2.3,-0.2,2015,121
2,23,12.3,0.73,0,400,2.3,-0.2,2015,121
3,0,13.4,0.72,0,400,3,-0.2,2015,121
3,1,12.3,0.77,0,400,1.6,-0.2,2015,121
3,2,10.5,0.86,0,400,1.4,-0.2,2015,121
3,3,10.2,0.85,0,400,0.5,-0.2,2015,121
3,4,9.3,0.88,0,400,0.7,-0.2,2015,121
3,5,8.7,0.91,12.638888889899999,400,1.2,-0.2,2015,121
3,6,9.8,0.92,189.5833333485,400,0.8,-0.2,2015,121
3,7,11.4,0.87,303.3333333485,400,0.8,-0.2,2015,121
3,8,12.4,0.91,530.8333334849999,400,1.6,-0.2,2015,121
3,9,15.1,0.88,1794.72222202,400,1.6,-0.2,2015,121
3,10,18.5,0.69,3248.194444495,400,1.9,-0.2,2015,121
3,11,22.114285714285714,0.6542857142857144,2464.5833334849995,400,4.9,-0.2,2015,121
3,12,22.5,0.6457142857142857,2666.805555505,400,7.2,-0.2,2015,121
3,13,22.52857142857143,0.6428571428571429,3842.2222220199997,400,6.6,-0.2,2015,121
3,14,22.17142857142857,0.657142857142857,3981.25,400,7.2,-0.2,2015,121
3,15,21.857142857142858,0.667142857142857,3880.1388889899995,400,8,-0.2,2015,121
3,16,22.12857142857143,0.65,2628.88888899,400,6,-0.2,2015,121
3,17,22.1,0.6414285714285713,1782.083333485,400,5.1,-0.2,2015,121
3,18,20.742857142857144,0.6742857142857143,1630.4166665149999,400,5,-0.2,2015,121
3,19,19.571428571428573,0.7157142857142857,783.61111101,400,3.7,-0.2,2015,121
3,20,18.242857142857144,0.7514285714285713,164.3055555505,400,1.8,-0.2,2015,121
3,21,13,0.797142857142857,0,400,0.8,-0.2,2015,121
3,22,11.1,0.8171428571428571,0,400,1,-0.2,2015,121
3,23,15.82857142857143,0.8342857142857143,0,400,1.7,-0.2,2015,121
4,0,10.6,0.99,0,400,1.5,-0.2,2015,121
4,1,10.2,1,0,400,1.3,-0.2,2015,121
4,2,10,1,0,400,1.8,-0.2,2015,121
4,3,10.3,0.8714285714285714,0,400,1.8,-0.2,2015,121
4,4,9.3,0.8871428571428571,0,400,1.1,-0.2,2015,121
4,5,8.8,0.8842857142857143,12.638888889899999,400,1.5,-0.2,2015,121
4,6,9.8,0.8814285714285713,151.6666666515,400,1.6,-0.2,2015,121
4,7,12.4,0.8414285714285714,947.916666515,400,1.9,-0.2,2015,121
4,8,16.1,0.88,2350.8333334849995,400,1.8,-0.2,2015,121
4,9,19.7,0.64,3020.694444495,400,1.3,-0.2,2015,121
4,10,22.4,0.52,3690.555555505,400,3,-0.2,2015,121
4,11,24.5,0.43,4107.63888899,400,6,-0.2,2015,121
