day,hour,mean.ta,mean.rh,total.radiation.umol.m2.s,CO2.ppm,mean.wind.speed.m.s,swp.MPa,year,stn.no.
345,0,12.46807375,0.8627591250000001,1.9838,400,1.2095370666666667,-0.2,2015,125
345,1,15.24558,0.7504702000000001,2.04295,400,2.852917,-0.2,2015,125
345,2,15.38189,0.7266395,2.02475,400,3.110473,-0.2,2015,125
345,3,14.31835,0.7567891,2.5571,400,2.66739,-0.2,2015,125
345,4,14.70099,0.7274478999999999,2.1430499999999997,400,2.676251,-0.2,2015,125
345,5,14.00787,0.7359949,24.479,400,2.018944,-0.2,2015,125
345,6,14.30752,0.7025912,457.72999999999996,400,2.401777,-0.2,2015,125
345,7,14.96008,0.6924326000000001,1389.115,400,1.650612,-0.2,2015,125
345,8,16.1985,0.6668162,2027.48,400,1.933971,-0.2,2015,125
345,9,17.90539,0.6513774999999999,2557.1,400,2.923972,-0.2,2015,125
345,10,19.38647,0.5681615,3166.7999999999997,400,2.882529,-0.2,2015,125
345,11,21.37692,0.4928397,2618.0699999999997,400,3.348163,-0.2,2015,125
345,12,21.73115,0.4912139,2345.98,400,4.61283,-0.2,2015,125
345,13,19.70607,0.5352966,4231.5,400,5.040839,-0.2,2015,125
345,14,20.03444,0.49859830000000005,4636.45,400,4.767495,-0.2,2015,125
345,15,19.75038,0.5109848,2204.93,400,3.983616,-0.2,2015,125
345,16,18.86132,0.5340353,645.645,400,3.745165,-0.2,2015,125
345,17,17.74309,0.5714243,444.53499999999997,400,3.295222,-0.2,2015,125
345,18,15.97341,0.6430511,301.119,400,2.878836,-0.2,2015,125
345,19,13.73465,0.8268683,103.9675,400,2.055474,-0.2,2015,125
345,20,12.4097,0.9564516999999999,52.5525,400,1.767276,-0.2,2015,125
345,21,11.98358,0.9757001,1.6698499999999998,400,1.595417,-0.2,2015,125
345,22,11.94598,0.9882052,1.8473000000000002,400,0.8115839,-0.2,2015,125
345,23,11.74836,0.9956793999999999,2.2613499999999997,400,0.3067797,-0.2,2015,125
346,0,11.92813,0.9998644,2.12485,400,0.4311955,-0.2,2015,125
346,1,11.91479,0.9999288,1.8700499999999998,400,0.843333,-0.2,2015,125
346,2,11.88903,0.9999628,1.8109,400,0.4507804,-0.2,2015,125
346,3,12.09115,0.999984,2.2613499999999997,400,0.6978611,-0.2,2015,125
346,4,12.26467,0.999984,2.4206,400,0.3415038,-0.2,2015,125
346,5,12.25236,0.999984,8.86795,400,0.3606981,-0.2,2015,125
346,6,12.80885,0.999984,148.3755,400,0.246055,-0.2,2015,125
346,7,14.85313,0.9391871,884.9749999999999,400,0.8197775,-0.2,2015,125
346,8,17.03091,0.7955933000000001,1861.86,400,1.735389,-0.2,2015,125
346,9,19.47369,0.6777907999999999,2755.025,400,1.102028,-0.2,2015,125
346,10,20.67695,0.6281688,3230.5,400,2.422443,-0.2,2015,125
346,11,22.4712,0.540373,4035.85,400,2.824223,-0.2,2015,125
346,12,23.97391,0.47463720000000004,3544.45,400,3.089198,-0.2,2015,125
346,13,23.71986,0.473177,5177.9,400,3.411224,-0.2,2015,125
346,14,22.76392,0.5358187,1489.6699999999998,400,2.745055,-0.2,2015,125
346,15,21.54741,0.6342933,1065.155,400,1.833609,-0.2,2015,125
346,16,21.03132,0.6774294999999999,1622.985,400,1.767109,-0.2,2015,125
346,17,18.46925,0.8221156000000001,939.5749999999999,400,1.009498,-0.2,2015,125
346,18,17.08382,0.9551911,346.25499999999994,400,1.059416,-0.2,2015,125
346,19,16.72447,0.9839642999999999,123.9875,400,0.8984997,-0.2,2015,125
346,20,16.13937,0.9941697,51.0965,400,1.383389,-0.2,2015,125
346,21,17.48824,0.7614677000000001,3.2623499999999996,400,3.162916,-0.2,2015,125
346,22,18.17954,0.660612,2.7345499999999996,400,4.008554,-0.2,2015,125
346,23,18.50495,0.5655935,2.12485,400,4.644222,-0.2,2015,125
347,0,17.2368,0.6483546,2.3569,400,3.098443,-0.2,2015,125
347,1,15.33732,0.7666164000000001,1.8654999999999997,400,2.119834,-0.2,2015,125
347,2,14.97282,0.7029850999999999,1.2194,400,1.688611,-0.2,2015,125
347,3,14.37944,0.6416903,2.00655,400,1.923111,-0.2,2015,125
347,4,13.21805,0.6234884,2.1839999999999997,400,1.896665,-0.2,2015,125
347,5,12.25806,0.6664409,9.768849999999999,400,2.389724,-0.2,2015,125
347,6,12.22124,0.6411337,193.10199999999998,400,2.719555,-0.2,2015,125
347,7,13.63476,0.5411661,999.18,400,3.179918,-0.2,2015,125
347,8,14.72428,0.4782717,1884.155,400,3.524332,-0.2,2015,125
347,9,14.6386,0.519592,2609.88,400,4.911138,-0.2,2015,125
347,10,14.4796,0.5399786,3676.3999999999996,400,5.444613,-0.2,2015,125
347,11,15.96928,0.48192100000000004,4267.9,400,4.178837,-0.2,2015,125
347,12,17.26464,0.41104080000000004,3699.1499999999996,400,3.91797,-0.2,2015,125
347,13,13.92065,0.6020744,3151.7850000000003,400,3.862641,-0.2,2015,125
347,14,15.04487,0.5182415,4254.25,400,4.379581,-0.2,2015,125
