Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error,rmse,r2,cost
Booker,2004,130,527,279,455.51363533156484,278,1,4.067970881996845,0.4844181983215289,1026
Booker,2005,144,527,272,455.54993198077767,272,0,4.067970881996845,0.4844181983215289,1026
Booker,2006,142,527,277,455.48077533948265,281,-4,4.067970881996845,0.4844181983215289,1026
Booker,2007,149,527,283,455.4675273677093,280,3,4.067970881996845,0.4844181983215289,1026
Booker,2008,143,527,281,455.6658008960978,276,5,4.067970881996845,0.4844181983215289,1026
Booker,2009,130,527,276,455.6313405345378,282,-6,4.067970881996845,0.4844181983215289,1026
Booker,2010,150,527,282,455.5553558342581,286,-4,4.067970881996845,0.4844181983215289,1026
Booker,2011,143,527,285,455.6166559611161,293,-8,4.067970881996845,0.4844181983215289,1026
Booker,2012,136,527,278,455.4850287013663,287,-9,4.067970881996845,0.4844181983215289,1026
Booker,2013,156,527,276,455.5878353759507,277,-1,4.067970881996845,0.4844181983215289,1026
Booker,2014,150,527,279,455.42945800043924,282,-3,4.067970881996845,0.4844181983215289,1026
Booker,2015,150,527,284,455.4659698225143,284,0,4.067970881996845,0.4844181983215289,1026
Booker,2016,150,527,279,455.5030140427792,282,-3,4.067970881996845,0.4844181983215289,1026
Booker,2017,150,527,279,455.4299162252295,275,4,4.067970881996845,0.4844181983215289,1026
Booker,2018,150,527,280,455.43625307687773,278,2,4.067970881996845,0.4844181983215289,1026
Booker,2019,151,527,283,455.5448615215285,283,0,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2004,137,527,284,455.40803803216824,282,2,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2005,145,527,271,455.4947574327277,270,1,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2006,141,527,273,455.38485507940914,278,-5,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2007,154,527,291,455.39713309759304,280,11,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2008,144,527,284,455.4449417746261,277,7,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2009,130,527,283,455.5257967238829,281,2,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2010,149,527,286,455.63463139087315,287,-1,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2011,148,527,291,455.58596767852606,289,2,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2012,131,527,277,455.8197427720947,284,-7,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2013,148,527,276,455.44525169533256,276,0,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2014,142,527,276,455.3680528085628,276,0,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2015,149,527,286,455.75525362794394,284,2,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2016,146,527,281,455.45285270389763,281,0,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2017,144,527,281,455.56914605150615,282,-1,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2018,145,527,284,455.3772692548027,279,5,4.067970881996845,0.4844181983215289,1026
Oyster Bay,2019,144,527,281,455.5046523677093,283,-2,4.067970881996845,0.4844181983215289,1026
Seaview,2006,159,527,277,455.5653688139492,274,3,4.067970881996845,0.4844181983215289,1026
Seaview,2007,164,527,284,455.5446878339344,276,8,4.067970881996845,0.4844181983215289,1026
Seaview,2008,149,527,276,455.5255681082831,276,0,4.067970881996845,0.4844181983215289,1026
Seaview,2009,132,527,265,455.4724712719329,274,-9,4.067970881996845,0.4844181983215289,1026
Seaview,2010,159,527,281,455.37202441338974,279,2,4.067970881996845,0.4844181983215289,1026
Seaview,2011,160,527,293,455.6386254219548,291,2,4.067970881996845,0.4844181983215289,1026
Seaview,2012,150,527,277,455.4638538060314,278,-1,4.067970881996845,0.4844181983215289,1026
Seaview,2013,164,527,274,455.68182917550916,277,-3,4.067970881996845,0.4844181983215289,1026
Seaview,2014,155,527,270,455.64298998901916,274,-4,4.067970881996845,0.4844181983215289,1026
Seaview,2015,158,527,281,455.6920552998359,278,3,4.067970881996845,0.4844181983215289,1026
Seaview,2016,165,527,279,455.8226625563811,277,2,4.067970881996845,0.4844181983215289,1026
Seaview,2017,155,527,274,455.51460608611615,275,-1,4.067970881996845,0.4844181983215289,1026
Seaview,2018,156,527,277,455.6004517368114,274,3,4.067970881996845,0.4844181983215289,1026
Seaview,2019,157,527,275,455.5276042739528,273,2,4.067970881996845,0.4844181983215289,1026
Squire,2004,137,527,279,455.3885049414546,280,-1,4.067970881996845,0.4844181983215289,1026
Squire,2005,146,527,266,455.4430960637695,273,-7,4.067970881996845,0.4844181983215289,1026
Squire,2006,148,527,275,455.430192700719,273,2,4.067970881996845,0.4844181983215289,1026
Squire,2007,150,527,279,455.8154821076358,281,-2,4.067970881996845,0.4844181983215289,1026
Squire,2008,146,527,277,455.4436622773193,276,1,4.067970881996845,0.4844181983215289,1026
Squire,2009,130,527,270,455.37691430554594,276,-6,4.067970881996845,0.4844181983215289,1026
Squire,2010,151,527,279,455.5365466081212,280,-1,4.067970881996845,0.4844181983215289,1026
Squire,2011,150,527,289,455.41869965600944,290,-1,4.067970881996845,0.4844181983215289,1026
Squire,2012,137,527,276,455.44325314475117,280,-4,4.067970881996845,0.4844181983215289,1026
Squire,2013,157,527,274,455.416164884354,276,-2,4.067970881996845,0.4844181983215289,1026
