Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error,rmse,r2,cost
Booker,2004,100,45,108,492.619503486231,278,-170,169.5597239912828,0.0093203160713738,1782531
Booker,2005,98,45,104,490.75849852109326,272,-168,169.5597239912828,0.0093203160713738,1782531
Booker,2006,111,45,114,491.6946772660501,281,-167,169.5597239912828,0.0093203160713738,1782531
Booker,2007,96,45,101,496.3165878935717,280,-179,169.5597239912828,0.0093203160713738,1782531
Booker,2008,99,45,105,491.32452831191944,276,-171,169.5597239912828,0.0093203160713738,1782531
Booker,2009,108,45,116,498.26347369540485,282,-166,169.5597239912828,0.0093203160713738,1782531
Booker,2010,106,45,112,489.8175928587094,286,-174,169.5597239912828,0.0093203160713738,1782531
Booker,2011,107,45,114,490.47151341650635,293,-179,169.5597239912828,0.0093203160713738,1782531
Booker,2012,106,45,113,493.23055810274553,287,-174,169.5597239912828,0.0093203160713738,1782531
Booker,2013,103,45,107,493.6365382421948,277,-170,169.5597239912828,0.0093203160713738,1782531
Booker,2014,116,45,124,493.9794041834772,282,-158,169.5597239912828,0.0093203160713738,1782531
Booker,2015,109,45,115,490.03151341650636,284,-169,169.5597239912828,0.0093203160713738,1782531
Booker,2016,113,45,118,497.7758912073325,282,-164,169.5597239912828,0.0093203160713738,1782531
Booker,2017,110,45,117,497.19426178898476,275,-158,169.5597239912828,0.0093203160713738,1782531
Booker,2018,104,45,110,495.5505642421948,278,-168,169.5597239912828,0.0093203160713738,1782531
Booker,2019,104,45,111,490.0168076605425,283,-172,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2004,98,45,107,493.5035233467817,282,-175,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2005,101,45,108,494.43251838164406,270,-162,169.5597239912828,0.0093203160713738,1782531
Oyster Bay,2006,100,45,106,491.69452831191944,278,-172,169.5597239912828,0.0093203160713738,1782531
