Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error
Booker,2004,139,789,284,425.6327659337259,278,6
Booker,2005,145,789,270,425.64240982010693,272,-2
Booker,2006,146,789,278,425.63169714767156,281,-3
Booker,2007,153,789,286,425.7299818451606,280,6
Booker,2008,152,789,281,425.5995205696262,276,5
Booker,2009,144,789,286,425.4938421341553,282,4
Booker,2010,149,789,280,425.5633438431817,286,-6
Booker,2011,154,789,291,425.77325771604643,293,-2
Booker,2012,147,789,282,425.47963628249846,287,-5
Booker,2013,156,789,274,425.70348741743726,277,-3
Booker,2014,155,789,278,425.5039683673299,282,-4
Booker,2015,156,789,285,426.0981145869883,284,1
Booker,2016,158,789,280,425.6107916272128,282,-2
Booker,2017,155,789,280,425.50793636081215,275,5
Booker,2018,154,789,279,425.58547560936995,278,1
Booker,2019,159,789,284,425.5449145012671,283,1
Oyster Bay,2004,140,789,284,425.6673979029036,282,2
Oyster Bay,2005,147,789,271,425.675852818184,270,1
Oyster Bay,2006,142,789,271,425.50084413997996,278,-7
Oyster Bay,2007,154,789,289,425.8820564027709,280,9
Oyster Bay,2008,150,789,283,425.6631861515174,277,6
Oyster Bay,2009,142,789,288,425.81529210141,281,7
Oyster Bay,2010,148,789,283,425.67031054259365,287,-4
Oyster Bay,2011,150,789,291,425.4934697642309,289,2
Oyster Bay,2012,139,789,280,425.55509244628075,284,-4
Oyster Bay,2013,147,789,274,425.7164829299361,276,-2
Oyster Bay,2014,146,789,279,425.6842851322324,276,3
Oyster Bay,2015,152,789,285,425.83929141064397,284,1
Oyster Bay,2016,151,789,281,425.83075600702,281,0
Oyster Bay,2017,150,789,282,425.7170848528522,282,0
Oyster Bay,2018,149,789,283,425.9809270127887,279,4
Oyster Bay,2019,155,789,287,425.59942778543876,283,4
Seaview,2006,156,789,273,425.4958097546164,274,-1
Seaview,2007,163,789,281,425.63308268330115,276,5
Seaview,2008,149,789,273,425.51255511871614,276,-3
Seaview,2009,141,789,274,425.65787420156875,274,0
Seaview,2010,155,789,275,425.6168116273692,279,-4
Seaview,2011,161,789,291,425.6648328470275,291,0
Seaview,2012,152,789,277,425.72932153874785,278,-1
Seaview,2013,163,789,271,425.49783205905027,277,-6
Seaview,2014,162,789,276,425.50806300894294,274,2
Seaview,2015,165,789,285,425.89077134227625,278,7
Seaview,2016,167,789,278,425.5300009759293,277,1
Seaview,2017,156,789,272,425.6742967548288,275,-3
Seaview,2018,158,789,275,425.5359971769958,274,1
Seaview,2019,162,789,277,425.7998467974569,273,4
Squire,2004,141,789,278,425.5218308258756,280,-2
Squire,2005,148,789,266,425.5060910637819,273,-7
Squire,2006,146,789,270,425.49386396273735,273,-3
Squire,2007,154,789,280,425.9076774733133,281,-1
Squire,2008,154,789,277,425.7269866447872,276,1
Squire,2009,146,789,281,425.5147124829278,276,5
Squire,2010,153,789,276,425.48845102624904,280,-4
Squire,2011,153,789,289,425.62643352144175,290,-1
Squire,2012,151,789,282,425.586793498311,280,2
Squire,2013,158,789,272,425.6386669376837,276,-4
Squire,2014,156,789,274,425.8268521939331,274,0
Squire,2015,157,789,282,425.493779856754,278,4
Squire,2016,158,789,276,425.5572581276935,281,-5
Squire,2017,153,789,276,426.0661435838356,277,-1
Squire,2018,157,789,278,425.5568156192528,272,6
Squire,2019,160,789,282,425.8730529440087,273,9
