Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error
Booker,2004,148,32,286,346.91726842410554,278,8
Booker,2005,154,32,270,344.7337136312269,272,-2
Booker,2006,161,32,282,349.85406635289195,281,1
Booker,2007,163,32,285,348.78680780274146,280,5
Booker,2008,169,32,285,345.5343363431962,276,9
Booker,2009,165,32,289,348.56694592895343,282,7
Booker,2010,162,32,278,348.1862838383483,286,-8
Booker,2011,155,32,291,351.7465669548645,293,-2
Booker,2012,170,32,285,347.647799252591,287,-2
Booker,2013,171,32,275,349.63517822667995,277,-2
Booker,2014,165,32,281,353.4627923884987,282,-1
Booker,2015,178,32,290,350.8666103075893,284,6
Booker,2016,172,32,282,348.6517188009607,282,0
Booker,2017,165,32,277,346.0316348806962,275,2
Booker,2018,169,32,281,348.8205344619462,278,3
Booker,2019,159,32,282,352.2900527196157,283,-1
Oyster Bay,2004,152,32,287,356.8976171716816,282,5
Oyster Bay,2005,159,32,269,346.59649217168163,270,-1
Oyster Bay,2006,185,32,281,345.00061656970905,278,3
Oyster Bay,2007,175,32,286,347.45303114107236,280,6
Oyster Bay,2008,162,32,282,347.2876411360748,277,5
Oyster Bay,2009,165,32,291,348.1928363431962,281,10
Oyster Bay,2010,172,32,284,345.1699219645603,287,-3
Oyster Bay,2011,163,32,297,349.6941588383483,289,8
Oyster Bay,2012,171,32,287,347.33615883834824,284,3
Oyster Bay,2013,164,32,276,349.61754238849875,276,0
Oyster Bay,2014,160,32,281,346.4190068768155,276,5
Oyster Bay,2015,169,32,291,347.6611869963419,284,7
Oyster Bay,2016,172,32,286,352.36575072183206,281,5
Oyster Bay,2017,156,32,282,349.14811717168163,282,0
Oyster Bay,2018,165,32,284,348.0202444597124,279,5
Oyster Bay,2019,160,32,288,345.7379288286525,283,5
Seaview,2006,174,32,271,348.1525223981945,274,-3
Seaview,2007,185,32,279,348.4158271910731,276,3
Seaview,2008,156,32,267,351.9575161360748,276,-9
Seaview,2009,148,32,268,347.5163209289534,274,-6
Seaview,2010,169,32,271,352.80289342410555,279,-8
Seaview,2011,167,32,286,347.8257050810764,291,-5
Seaview,2012,170,32,273,346.95118280274147,278,-5
Seaview,2013,193,32,271,344.9656976150116,277,-6
Seaview,2014,174,32,276,345.4043757218321,274,2
Seaview,2015,178,32,280,351.2648865600133,278,2
Seaview,2016,188,32,282,351.2876681316419,277,5
Seaview,2017,162,32,265,347.45388377774145,275,-10
Seaview,2018,170,32,272,344.8465803848628,274,-2
Seaview,2019,162,32,265,347.02783575690813,273,-8
Squire,2004,153,32,283,344.84654238849873,280,3
Squire,2005,164,32,266,347.2147590329002,273,-7
Squire,2006,167,32,276,345.86657490304236,273,3
Squire,2007,173,32,280,351.94562114577053,281,-1
Squire,2008,156,32,270,345.2847090551654,276,-6
Squire,2009,163,32,276,349.85998530758934,276,0
Squire,2010,177,32,280,347.98388884804405,280,0
Squire,2011,162,32,292,344.7170052978936,290,2
Squire,2012,163,32,280,347.9315052978936,280,0
Squire,2013,171,32,270,347.5316342719825,276,-6
Squire,2014,170,32,281,354.2742484338013,274,7
Squire,2015,177,32,286,346.277165100468,278,8
Squire,2016,178,32,282,351.402003491256,281,1
Squire,2017,157,32,270,345.7965223620602,277,-7
Squire,2018,169,32,276,346.93559621395343,272,4
Squire,2019,163,32,278,346.8583516466816,273,5
