Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error
Booker,2004,136,314.7623068965441,278,697.7271218892572,278,0
Booker,2005,151,315.2492901271077,274,697.5683007034547,272,2
Booker,2006,150,315.475860929355,282,697.4901138821182,281,1
Booker,2007,151,314.5416219499728,281,697.674019114123,280,1
Booker,2008,145,314.7569093767357,278,697.962628963915,276,2
Booker,2009,138,314.5055652134439,278,697.6606998616942,282,-4
Booker,2010,151,314.5142332707263,278,697.6017180145793,286,-8
Booker,2011,154,315.1462315485445,289,697.6742783345773,293,-4
Booker,2012,140,315.308318508771,275,697.7608119256937,287,-12
Booker,2013,165,314.68535830840096,279,697.4863933256536,277,2
Booker,2014,154,314.89636002077754,278,697.805510394115,282,-4
Booker,2015,163,315.31997121474245,289,697.9122914830006,284,5
Booker,2016,154,314.9190035016763,279,697.7592808786728,282,-3
Booker,2017,155,314.79079493321296,279,697.5148471776764,275,4
Booker,2018,154,314.8124143555095,278,697.7251397503516,278,0
Booker,2019,156,314.94823296872227,283,697.4535564548253,283,0
Oyster Bay,2004,139,314.66833358377403,278,697.4671309656998,282,-4
Oyster Bay,2005,150,314.78371934016917,272,697.7533883967922,270,2
Oyster Bay,2006,149,314.95748988362226,279,697.6220305487849,278,1
Oyster Bay,2007,160,314.95854531063634,291,697.5571440335368,280,11
Oyster Bay,2008,149,314.5603557587446,281,697.7387596812459,277,4
Oyster Bay,2009,133,314.8101268440407,276,698.0371687728086,281,-5
Oyster Bay,2010,151,314.55095060262926,280,697.5592099390291,287,-7
Oyster Bay,2011,151,314.60326408769697,288,697.4460029630227,289,-1
Oyster Bay,2012,133,314.88632983296657,273,697.4759733754756,284,-11
Oyster Bay,2013,159,314.51219041977276,279,697.696304419001,276,3
Oyster Bay,2014,147,314.68882973081656,278,697.6134870243451,276,2
Oyster Bay,2015,156,314.9323008762081,289,697.9748599761798,284,5
Oyster Bay,2016,147,315.17551163396774,278,697.8124818074604,281,-3
Oyster Bay,2017,152,314.4981928457566,282,697.4472682572423,282,0
Oyster Bay,2018,152,314.79274822755434,282,698.0326548359158,279,3
Oyster Bay,2019,153,314.90312123325566,285,697.4465814359057,283,2
Seaview,2006,163,314.6106518940118,279,697.5170592794511,274,5
Seaview,2007,167,314.854615189232,282,697.4842469576685,276,6
Seaview,2008,153,315.174382827777,272,697.5652245887909,276,-4
Seaview,2009,139,314.53693134142105,269,697.4559552225905,274,-5
Seaview,2010,166,314.8784876923214,279,697.5491259612379,279,0
Seaview,2011,165,315.0991726388927,290,697.7851271061419,291,-1
Seaview,2012,156,314.5046272296693,276,697.5631792065781,278,-2
Seaview,2013,171,314.5680402060485,276,697.6389005443231,277,-1
Seaview,2014,173,314.78931774491923,287,697.6752881238889,274,13
Seaview,2015,167,314.4912461869644,285,697.6526195994492,278,7
Seaview,2016,168,315.1200571407912,278,697.7919181020021,277,1
Seaview,2017,158,314.6073058115891,272,697.868793571564,275,-3
Seaview,2018,163,314.71605402612977,277,697.6337577296792,274,3
Seaview,2019,158,314.66466633148286,272,697.9466933344531,273,-1
Squire,2004,139,314.5328194486823,274,697.7492165132408,280,-6
Squire,2005,156,315.24641442127376,271,697.5312474295978,273,-2
Squire,2006,152,315.1169105233407,277,697.7294887381065,273,4
Squire,2007,154,314.55076671845626,280,697.5592666118921,281,-1
Squire,2008,151,314.5058495400877,275,697.5426019470102,276,-1
Squire,2009,134,314.84595025623184,267,697.4991762039009,276,-9
Squire,2010,152,315.0544355307361,275,697.5808687425684,280,-5
Squire,2011,153,314.7273279639,287,697.4658156412399,290,-3
Squire,2012,143,315.27862971522126,274,697.7792726172463,280,-6
Squire,2013,167,314.7943691835737,278,697.6763071336547,276,2
Squire,2014,154,314.5400913738988,274,697.4369408536628,274,0
Squire,2015,158,315.2456735084798,284,697.683217726556,278,6
Squire,2016,153,315.365730324706,275,697.5955908795652,281,-6
Squire,2017,153,314.9332833769873,275,697.4635763602315,277,-2
Squire,2018,154,314.56434302147517,275,697.8528040553535,272,3
Squire,2019,156,314.99997158076127,280,697.4585712078539,273,7
