Site,year,EcoDoy,cumChill,bbdoy.pre,cumFU,bbdoy,error
Booker,2004,153,290.49396005123884,283,479.7879873536276,278,5
Booker,2005,164,290.6647987686603,271,479.6996502299944,272,-1
Booker,2006,161,290.54514596521255,279,479.7494104861268,281,-2
Booker,2007,168,290.3641028842546,284,479.886950101567,280,4
Booker,2008,155,290.6381659875375,276,479.7015266212531,276,0
Booker,2009,147,290.41572342232666,275,479.6507069508758,282,-7
Booker,2010,165,290.6920397461855,278,479.7938995700266,286,-8
Booker,2011,169,290.45644438319516,293,479.6507093320862,293,0
Booker,2012,155,290.20917102562436,277,479.6359794965363,287,-10
Booker,2013,177,290.587030061844,276,479.70310854549695,277,-1
Booker,2014,174,290.44719783693296,284,479.89485446087474,282,2
Booker,2015,168,290.3714771147719,285,480.0733753031235,284,1
Booker,2016,166,290.1390582115176,278,479.9109690389254,282,-4
Booker,2017,162,290.28975091904044,274,479.90520320986917,275,-1
Booker,2018,169,290.23112979851186,280,479.9810039370389,278,2
Booker,2019,170,290.12360864549714,283,479.8094057583906,283,0
Oyster Bay,2004,160,290.5731888850099,287,479.75744944159925,282,5
Oyster Bay,2005,163,290.1054979667818,270,479.97985583430267,270,0
Oyster Bay,2006,164,290.78364543662326,279,479.6784340395698,278,1
Oyster Bay,2007,172,290.4563631109558,287,479.83708395284725,280,7
Oyster Bay,2008,155,290.4212044536036,277,479.63769533914626,277,0
Oyster Bay,2009,144,290.2193769409736,277,479.6992537456087,281,-4
Oyster Bay,2010,163,290.189045785654,280,479.6565819508758,287,-7
Oyster Bay,2011,169,290.20930803116937,294,479.66503753735327,289,5
Oyster Bay,2012,152,290.85237866069156,278,479.7545822986905,284,-6
Oyster Bay,2013,172,290.4786305671164,279,479.75455458930213,276,3
Oyster Bay,2014,167,290.1626750633447,282,479.6538902929366,276,6
Oyster Bay,2015,166,290.3141400325622,287,479.7160168341269,284,3
Oyster Bay,2016,164,290.48593967088345,280,479.7082697719443,281,-1
Oyster Bay,2017,157,290.5184016349104,277,479.6125764749949,282,-5
Oyster Bay,2018,160,290.13712980820293,278,479.7963780499793,279,-1
Oyster Bay,2019,168,290.11395141942273,287,479.9655809074318,283,4
Seaview,2006,175,290.47411674655825,274,479.7889910726043,274,0
Seaview,2007,180,290.1327003635096,279,480.1863257793656,276,3
Seaview,2008,167,290.1733244514432,277,480.1368777199954,276,1
Seaview,2009,151,290.3302803076078,268,479.7142735444134,274,-6
Seaview,2010,183,290.447362478018,282,480.0075570061741,279,3
Seaview,2011,182,290.18899051457396,294,479.7934839289732,291,3
Seaview,2012,163,290.1403565293167,274,479.67393782986966,278,-4
Seaview,2013,179,290.7561142199509,270,479.63818471736835,277,-7
Seaview,2014,196,290.59433597941756,293,479.7563008346639,274,19
Seaview,2015,175,290.47695107279014,281,479.6271632151519,278,3
Seaview,2016,189,290.2996437598722,287,479.71725943740006,277,10
Seaview,2017,169,290.4398264010801,270,479.67490454291925,275,-5
Seaview,2018,177,290.8214488779798,277,479.77241289444453,274,3
Seaview,2019,176,290.1750597175766,278,479.6960110845859,273,5
Squire,2004,161,290.5086928290098,284,479.6396212185013,280,4
Squire,2005,164,290.6994186321411,266,479.8817520648226,273,-7
Squire,2006,170,290.28985998635017,277,479.76785581647187,273,4
Squire,2007,169,290.64044894025983,280,479.8609535083906,281,-1
Squire,2008,157,290.1123188097512,270,479.7019910904351,276,-6
Squire,2009,148,290.15250617698007,271,479.8384446435169,276,-5
Squire,2010,166,290.7467952501003,275,479.754895119759,280,-5
Squire,2011,173,290.2207583545209,293,479.69430187810786,290,3
Squire,2012,153,290.2169100154835,274,479.90638352586024,280,-6
Squire,2013,174,290.5324038044104,274,479.90551565166055,276,-2
Squire,2014,180,290.60679519791074,286,479.75599175040287,274,12
Squire,2015,170,290.4168720279087,284,479.66823731796603,278,6
Squire,2016,167,290.1279329304596,275,479.80412470095376,281,-6
Squire,2017,160,290.31165244477535,270,479.68266469631544,277,-7
Squire,2018,171,290.13961765288695,278,479.6719479046488,272,6
Squire,2019,169,290.7357594710232,281,480.0403910703878,273,8
