TOA5,PFR093_RapauraCentral,CR200X,No_SN,CR200X.Std.03,PFR093_RapauraCentral.CR2,31016,Hourly,,,,,,,,
TIMESTAMP,RECORD,SiteID,AirTemperatu_Avg,AirTemperatu_Min,AirTemperatu_Max,RelativeHumi_Avg,Rain_Tot,Wetness_Avg,WindSpeed_Avg,WindSpeed_Max,WindDirectio_Avg,BatteryVoltage,,,
TS,RN,,Deg C,Deg C,Deg C,%,mm,,m/s,m/s,DegTrue,Volts,,,
,,Smp,Avg,Min,Max,Avg,Tot,Avg,Avg,Max,Avg,Smp,,,
1/01/2019 0:00,2606,93,16.61649,16.424,16.916,96.97787,0,72.64167,0.7260279,1.566667,160.8633,12.73177,,,
1/01/2019 1:00,2607,93,16.68029,16.322,17.108,97.69389,0,74.43974,0.6869445,1.533333,201.1988,12.71498,,,
1/01/2019 2:00,2608,93,17.49231,17.088,17.82,96.77916,0,87.69209,0.8780279,1.766667,207.6285,12.69819,,,
1/01/2019 3:00,2609,93,17.74351,17.5,17.972,94.65562,0,61.64234,1.631945,3.233334,65.2403,12.6814,,,
1/01/2019 4:00,2610,93,17.24171,17.097,17.53,96.23293,0,45.16693,1.716418,3.4,84.4261,12.65706,,,
1/01/2019 5:00,2611,93,17.176,17.088,17.238,98.03414,0.1184,95.32082,1.684195,3.366667,42.46563,12.63943,,,
1/01/2019 6:00,2612,93,17.05651,16.926,17.248,98.69392,0,94.37764,1.321834,2.966667,52.22226,12.61928,,,
1/01/2019 7:00,2613,93,17.01104,16.876,17.278,98.82463,0,95.39304,1.181388,2.366667,92.78898,12.77206,,,
1/01/2019 8:00,2614,93,17.78712,17.188,18.564,97.51802,0,75.14726,1.315306,2.8,58.49575,13.47551,,,
1/01/2019 9:00,2615,93,19.1847,18.323,20.582,90.37133,0,0.6088195,1.135695,2.666667,85.62882,13.36219,,,
1/01/2019 10:00,2616,93,21.18004,20,23.251,81.498,0,0.0005357,0.8993057,2.333333,156.8356,13.28244,,,
1/01/2019 11:00,2617,93,22.3655,21.035,24.404,77.9646,0,0.001839069,1.841166,4.666667,71.17318,13.23795,,,
1/01/2019 12:00,2618,93,23.27209,21.776,24.632,75.76308,0,0.001530076,2.456139,4.933333,69.87051,13.22956,,,
