Column Headings applicable to the hourly data output ID 24,,,,,,,,,,,,,,,
1,2,3,4,5,6,,2003 ID 24 Data missing from 163 to 175 replaced with WAI,,,,,,,,
ID,Year,Day,Hour,Min,Max,,2007 ID 24 Data lost day 229 to day 257 replaced with WAI,,,,,,,,
,,,,Temp,Temp,,However WAI summary done at 9am so backdated T max to previous day,,,,,,,,
,,,,°C,°C,,Note T min on Day 266 in 2003  was actually at 2200 the previous day (265). I have left it as is for the time being,,,,,,,,
24,2018,1,2400,14.53,23.43,12.81,1/01/2018,18.98,8.98,,,,,,
24,2018,2,2400,14.36,28.34,12.79,2/01/2018,21.35,11.35,,,,,,
24,2018,3,2400,13.51,29.61,12.79,3/01/2018,21.56,11.56,,,,,,
24,2018,4,2400,13.61,29.75,12.79,4/01/2018,21.68,11.68,,,,,,
24,2018,5,2400,15.98,24.52,12.82,5/01/2018,20.25,10.25,,,,,,
24,2018,6,2400,11.42,25.46,12.76,6/01/2018,18.44,8.44,,,,,,
24,2018,7,2400,9.9,22.93,12.81,7/01/2018,16.415,6.415,,,,,,
24,2018,8,2400,11.15,27.56,12.8,8/01/2018,19.355,9.355,,,,,,
24,2018,9,2400,11.83,29.77,12.82,9/01/2018,20.8,10.8,,,,,,
24,2018,10,2400,14.24,24.26,12.76,10/01/2018,19.25,9.25,,,,,,
24,2018,11,2400,13.71,19.27,12.81,11/01/2018,16.49,6.49,,,,,,
24,2018,12,2400,13.21,17.42,12.8,12/01/2018,15.315,5.315,,,,,,
24,2018,13,2400,13.59,25.55,12.83,13/01/2018,19.57,9.57,,,,,,
24,2018,14,2400,13.48,29.71,12.79,14/01/2018,21.595,11.595,,,,,,
24,2018,15,2400,15.53,30.36,12.8,15/01/2018,22.945,12.945,,,,,,
24,2018,16,2400,13.73,28.92,12.81,16/01/2018,21.325,11.325,,,,,,
24,2018,17,2400,16.87,23.05,12.79,17/01/2018,19.96,9.96,,,,,,
24,2018,18,2400,15.4,27.21,12.81,18/01/2018,21.305,11.305,,,,,,
24,2018,19,2400,14.54,24.56,12.79,19/01/2018,19.55,9.55,,,,,,
24,2018,20,2400,15.02,31.88,12.79,20/01/2018,23.45,13.45,,,,,,
24,2018,21,2400,16.11,26.59,12.81,21/01/2018,21.35,11.35,,,,,,
24,2018,22,2400,17.36,28.66,12.83,22/01/2018,23.01,13.01,,,,,,
24,2018,23,2400,14.51,27.83,12.79,23/01/2018,21.17,11.17,,,,,,
24,2018,24,2400,12.2,30.42,12.77,24/01/2018,21.31,11.31,,,,,,
24,2018,25,2400,14.16,29.88,12.79,25/01/2018,22.02,12.02,,,,,,
24,2018,26,2400,17.44,25.11,12.81,26/01/2018,21.275,11.275,,,,,,
24,2018,27,2400,14.93,27.79,12.8,27/01/2018,21.36,11.36,,,,,,
24,2018,28,2400,11.83,25.65,12.82,28/01/2018,18.74,8.74,,,,,,
24,2018,29,2400,17.83,28.72,12.81,29/01/2018,23.275,13.275,,,,,,
24,2018,30,2400,15.24,33.99,12.79,30/01/2018,24.615,14.615,,,,,,
24,2018,31,2400,14.33,27.25,12.81,31/01/2018,20.79,10.79,,,,,,
24,2018,32,2400,17.55,25.88,12.83,1/02/2018,21.715,11.715,,,,,,
24,2018,33,2400,12.1,22.56,12.78,2/02/2018,17.33,7.33,,,,,,
24,2018,34,2400,9.44,20.15,12.8,3/02/2018,14.795,4.795,,,,,,
24,2018,35,2400,12.12,22.89,12.81,4/02/2018,17.505,7.505,,,,,,
24,2018,36,2400,13.28,25.75,12.8,5/02/2018,19.515,9.515,,,,,,
24,2018,37,2400,12.14,23.55,12.79,6/02/2018,17.845,7.845,,,,,,
24,2018,38,2400,7.65,21.02,12.79,7/02/2018,14.335,4.335,,,,,,
24,2018,39,2400,6.906,21.75,12.8,8/02/2018,14.328,4.328,,,,,,
24,2018,40,2400,7.07,26.72,12.8,9/02/2018,16.895,6.895,,,,,,
24,2018,41,2400,10.86,22.44,12.82,10/02/2018,16.65,6.65,,,,,,
24,2018,42,2400,16.61,20.18,12.62,11/02/2018,18.395,8.395,,,,,,
24,2018,43,2400,15.08,29.57,12.81,12/02/2018,22.325,12.325,,,,,,
24,2018,44,2400,12.48,31.67,12.79,13/02/2018,22.075,12.075,,,,,,
24,2018,45,2400,15.42,25.46,12.79,14/02/2018,20.44,10.44,,,,,,
24,2018,46,2400,13.31,27.52,12.8,15/02/2018,20.415,10.415,,,,,,
24,2018,47,2400,12.34,30.8,12.8,16/02/2018,21.57,11.57,,,,,,
24,2018,48,2400,14.43,27.85,12.8,17/02/2018,21.14,11.14,,,,,,
24,2018,49,2400,11.86,31.74,12.79,18/02/2018,21.8,11.8,,,,,,
24,2018,50,2400,17.09,27.44,12.81,19/02/2018,22.265,12.265,,,,,,
24,2018,51,2400,14.59,17.44,12.61,20/02/2018,16.015,6.015,,,,,,
24,2018,52,2400,10.23,22.29,12.81,21/02/2018,16.26,6.26,,,,,,
24,2018,53,2400,9.67,20.37,12.78,22/02/2018,15.02,5.02,,,,,,
24,2018,54,2400,8.39,24.45,12.79,23/02/2018,16.42,6.42,,,,,,
24,2018,55,2400,9.5,25.74,12.78,24/02/2018,17.62,7.62,,,,,,
24,2018,56,2400,11.43,25.46,12.81,25/02/2018,18.445,8.445,,,,,,
24,2018,57,2400,7.53,20.48,12.8,26/02/2018,14.005,4.005,,,,,,
24,2018,58,2400,6.805,17.79,12.8,27/02/2018,12.2975,2.2975,,,,,,
24,2018,59,2400,11.52,21.6,12.83,28/02/2018,16.56,6.56,,,,,,
24,2018,60,2400,13.74,27.61,12.8,1/03/2018,20.675,10.675,,,,,,
24,2018,61,2400,15.93,25.1,12.81,2/03/2018,20.515,10.515,,,,,,
24,2018,62,2400,14.15,28.51,12.8,3/03/2018,21.33,11.33,,,,,,
24,2018,63,2400,13.27,26.84,12.8,4/03/2018,20.055,10.055,,,,,,
24,2018,64,2400,13.78,27.77,12.8,5/03/2018,20.775,10.775,,,,,,
24,2018,65,2400,10.93,22.38,12.8,6/03/2018,16.655,6.655,,,,,,
24,2018,66,2400,12.18,15.62,12.71,7/03/2018,13.9,3.9,,,,,,
24,2018,67,2400,12.2,21.28,12.81,8/03/2018,16.74,6.74,,,,,,
24,2018,68,2400,7.69,22.63,12.79,9/03/2018,15.16,5.16,,,,,,
24,2018,69,2400,4.411,20.02,12.79,10/03/2018,12.2155,2.2155,,,,,,
24,2018,70,2400,4.737,21.58,12.78,11/03/2018,13.1585,3.1585,,,,,,
24,2018,71,2400,7.45,26.89,12.79,12/03/2018,17.17,7.17,,,,,,
24,2018,72,2400,8.87,27.58,12.79,13/03/2018,18.225,8.225,,,,,,
24,2018,73,2400,6.155,25.89,12.8,14/03/2018,16.0225,6.0225,,,,,,
24,2018,74,2400,12.62,26.17,12.8,15/03/2018,19.395,9.395,,,,,,
24,2018,75,2400,12.41,27.94,12.79,16/03/2018,20.175,10.175,,,,,,
24,2018,76,2400,6.415,17.74,12.81,17/03/2018,12.0775,2.0775,,,,,,
