Station,Timestream,Temp,humidity
26607,1/1/2014 0:00,15.3,41
26607,1/1/2014 1:00,15.1,42
26607,1/1/2014 2:00,14.9,44
26607,1/1/2014 3:00,13.8,50
26607,1/1/2014 4:00,13.3,54
26607,1/1/2014 5:00,12.9,57
26607,1/1/2014 6:00,13.6,56
26607,1/1/2014 7:00,13.7,59
26607,1/1/2014 8:00,13.8,63
26607,1/1/2014 9:00,15,60
26607,1/1/2014 10:00,17.9,49
26607,1/1/2014 11:00,18,47
26607,1/1/2014 12:00,18.3,46
26607,1/1/2014 13:00,19,42
26607,1/1/2014 14:00,20.6,35
26607,1/1/2014 15:00,21,35
26607,1/1/2014 16:00,19.1,40
26607,1/1/2014 17:00,16.5,45
26607,1/1/2014 18:00,15.6,45
26607,1/1/2014 19:00,14.9,48
26607,1/1/2014 20:00,14.3,48
26607,1/1/2014 21:00,14.6,45
26607,1/1/2014 22:00,15.2,44
26607,1/1/2014 23:00,15.2,46
26607,1/2/2014 0:00,14.9,47
26607,1/2/2014 1:00,14.7,49
26607,1/2/2014 2:00,15.3,47
26607,1/2/2014 3:00,15,48
26607,1/2/2014 4:00,15,47
26607,1/2/2014 5:00,15.2,47
26607,1/2/2014 6:00,15.6,45
26607,1/2/2014 7:00,15.9,46
26607,1/2/2014 8:00,16.7,48
26607,1/2/2014 9:00,17.6,48
26607,1/2/2014 10:00,19,45
26607,1/2/2014 11:00,19.2,43
26607,1/2/2014 12:00,17.9,47
26607,1/2/2014 13:00,17.9,47
26607,1/2/2014 14:00,19,46
26607,1/2/2014 15:00,19.8,49
26607,1/2/2014 16:00,19.1,46
26607,1/2/2014 17:00,17.5,58
26607,1/2/2014 18:00,18.8,51
26607,1/2/2014 19:00,19.2,41
26607,1/2/2014 20:00,19,42
26607,1/2/2014 21:00,19,40
26607,1/2/2014 22:00,18.9,39
26607,1/2/2014 23:00,18.5,39
26607,1/3/2014 0:00,18.4,39
26607,1/3/2014 1:00,16.9,46
26607,1/3/2014 2:00,18.9,37
26607,1/3/2014 3:00,19.3,35
26607,1/3/2014 4:00,18.9,39
26607,1/3/2014 5:00,18.9,45
26607,1/3/2014 6:00,17.8,60
26607,1/3/2014 7:00,15.4,79
26607,1/3/2014 8:00,14.4,95
26607,1/3/2014 9:00,15.1,91
26607,1/3/2014 10:00,19.9,58
26607,1/3/2014 11:00,21.1,42
26607,1/3/2014 12:00,21.4,40
26607,1/3/2014 13:00,21.8,38
26607,1/3/2014 14:00,21.4,40
26607,1/3/2014 15:00,22.6,35
26607,1/3/2014 16:00,20.8,39
26607,1/3/2014 17:00,21.4,37
26607,1/3/2014 18:00,21.2,38
26607,1/3/2014 19:00,19.9,43
26607,1/3/2014 20:00,19.3,44
26607,1/3/2014 21:00,18.4,44
26607,1/3/2014 22:00,17.3,47
26607,1/3/2014 23:00,18.6,39
26607,1/4/2014 0:00,18.8,35
26607,1/4/2014 1:00,18.3,35
26607,1/4/2014 2:00,17.4,38
26607,1/4/2014 3:00,16.9,40
26607,1/4/2014 4:00,16.3,41
26607,1/4/2014 5:00,16.2,41
26607,1/4/2014 6:00,16.1,44
26607,1/4/2014 7:00,16.4,44
26607,1/4/2014 8:00,17.2,43
26607,1/4/2014 9:00,17.7,40
26607,1/4/2014 10:00,17.4,39
26607,1/4/2014 11:00,18.5,38
26607,1/4/2014 12:00,18.8,37
26607,1/4/2014 13:00,20.4,34
26607,1/4/2014 14:00,21.2,33
26607,1/4/2014 15:00,21.4,32
26607,1/4/2014 16:00,20.9,32
26607,1/4/2014 17:00,20.2,37
26607,1/4/2014 18:00,20.2,40
26607,1/4/2014 19:00,20.4,37
26607,1/4/2014 20:00,19.2,40
26607,1/4/2014 21:00,18.1,43
