id,stn.no.,year,day,hour,mean.ta,mean.wet.bulb.,mean.leaf.wet,total.rain.mm.0.1,grass.min.temp,mean.10.cm.soil.temp,mean.20.cm.soil.temp,mean.30.cm.soil.temp,mean.100.cm.soil.temp,mean.solar.rad.w.m2,mean.wind.speed.m.s,mean.wind.direction.n,total.rain,mean.rh,mean.ta.back.up,sunshine.min,soil.moisture,penman.et,date,vpd
20,121,2020,1,0,16.3,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5003333333333333,NA,0,77.51666666666667,16.3,NA,NA,NA,2020-01-01,0.4172265613271562
20,121,2020,1,1,16.1,6999,92.1,0,12.2,21.9,22.7,22.5,17.8,0,2.2,296,0,86.7,16.1,0,26.3,0,2020-01-01,0.2436781735095075
20,121,2020,1,2,15.9,6999,85.7,0,11.3,21.3,22.2,22.3,17.8,0,1.4,279,0,87.2,15.9,0,26.1,0,2020-01-01,0.23153678389594456
20,121,2020,1,3,15.8,6999,89.9,0,11.3,20.8,21.8,22.1,17.8,0,1,252,0,87.8,15.8,0,26.5,0.001,2020-01-01,0.21927499305663023
20,121,2020,1,4,15.1,6999,84.6,0,12.1,20.3,21.4,21.9,17.8,0,1.7,258,0,89,15.1,0,26.4,0,2020-01-01,0.18901462769132094
20,121,2020,1,5,14.4,6999,84.2,0,10.4,19.8,21,21.6,17.8,1.4,1.4,244,0,89.9,14.4,0,26.1,0,2020-01-01,0.16587833867020674
20,121,2020,1,6,14.8,6999,92.5,0,10.4,19.4,20.6,21.4,17.8,41,1.3,267,0,89.7,14.8,9,26.2,0,2020-01-01,0.17359549975517719
20,121,2020,1,7,16.3,6999,0.184,0,13.5,19.2,20.4,21.2,17.9,158.5,1.4,262,0,84.4,16.3,60,26.1,0.053,2020-01-01,0.2894915206836308
20,121,2020,1,8,18.6,6999,-0.084,0,18.4,19.5,20.2,21,17.9,319.4,1.5,248,0,73.3,18.6,60,26.5,0.171,2020-01-01,0.5730407311484147
20,121,2020,1,9,21.3,6999,-0.084,0,24.8,20.4,20.3,20.9,17.9,501.7,0.8,257,0,64.6,21.3,60,26.5,0.299,2020-01-01,0.898257938853114
20,121,2020,1,10,23.3,6999,-0.084,0,27.9,21.6,20.6,20.7,17.9,602.8,1.3,325,0,59.2,23.3,60,26.4,0.398,2020-01-01,1.16939713286874
20,121,2020,1,11,24.8,6999,-0.084,0,29,23,21.2,20.7,17.9,726,2.5,20,0,56.6,24.8,60,25.8,0.485,2020-01-01,1.361266641941628
20,121,2020,1,12,26,6999,-0.084,0,31.6,24.7,22,20.8,17.9,842,2.5,2,0,54.5,26,60,25.7,0.565,2020-01-01,1.5327348623573516
20,121,2020,1,13,24.6,6999,-0.084,0,32.3,26.4,23,21,17.9,845,2.6,55,0,60.5,24.6,60,25.7,0.511,2020-01-01,1.224210494370205
20,121,2020,1,14,24.2,6999,-0.084,0,31.9,27.8,24.1,21.3,17.9,777,3.2,92,0,63.2,24.2,60,25.9,0.465,2020-01-01,1.1135101952271478
20,121,2020,1,15,23.4,6999,-0.084,0,27.9,28.6,24.9,21.7,17.9,562.4,3,89,0,65.1,23.4,59,25.9,0.364,2020-01-01,1.0063552622009728
20,121,2020,1,16,21.8,6999,-0.084,0,24.8,28.8,25.5,22.1,17.9,432.3,2.5,102,0,69.5,21.9,33,25.7,0.275,2020-01-01,0.7979941842832143
20,121,2020,1,17,20.3,6999,-0.084,0,22.1,28.3,25.7,22.4,17.9,257.3,1.9,114,0,73.9,20.3,1,25.3,0.181,2020-01-01,0.6227019706620964
20,121,2020,1,18,19.5,6999,-0.084,0,20.1,27.5,25.6,22.7,17.9,181.9,1.9,114,0,76.1,19.5,0,25.4,0.13,2020-01-01,0.5426029114611932
20,121,2020,1,19,18.2,6999,1.394,0,16.5,26.6,25.3,22.9,17.9,78.8,1.5,114,0,79.9,18.2,0,25.5,0.06,2020-01-01,0.42069424390177046
20,121,2020,1,20,16.8,6999,46.7,0,14.1,25.5,24.9,23,17.9,14.8,1.2,120,0,84.7,16.8,0,25.5,0.012,2020-01-01,0.29310983109027045
20,121,2020,1,21,16,6999,69.02,0,13.8,24.4,24.4,23,17.9,0,0.9,117,0,88,16,0,25.8,0.004,2020-01-01,0.21845895083492528
20,121,2020,1,22,15.3,6999,88.9,0,12,23.4,23.8,22.9,17.9,0,1.2,100,0,89.7,15.4,0,25.9,0.002,2020-01-01,0.17927921297379967
20,121,2020,1,23,14.5,6999,87.3,0,10.3,22.6,23.3,22.8,17.9,0,1,102,0,92.4,14.5,0,25.9,0,2020-01-01,0.12563002684070312
20,121,2020,2,0,13.8,6999,83.5,0,9.5,21.8,22.7,22.6,17.9,0,0.6,57,0,94,13.8,0,25.7,0,2020-01-02,0.09477711854451742
20,121,2020,2,1,13,6999,93.6,0,9.4,21.1,22.2,22.4,17.9,0,0.5,88,0,94.4,13,0,25.9,0,2020-01-02,0.08395764273781081
20,121,2020,2,2,13.6,6999,98.9,0,10,20.5,21.8,22.2,17.9,0,0.5,85,0,95.5,13.6,0,25.3,0,2020-01-02,0.07016301161483351
20,121,2020,2,3,12.7,6999,100,0,10.3,20,21.3,22,17.9,0,1.2,50,0,94.7,12.7,0,25.7,0,2020-01-02,0.0779122765481941
20,121,2020,2,4,12,6999,100,0,10.1,19.6,20.9,21.7,17.9,0,1.1,319,0,95.4,12,0,25.5,0,2020-01-02,0.06457682411820165
20,121,2020,2,5,12.2,6999,100,0,9.8,19.2,20.6,21.5,18,0,1.4,269,0,96,12.2,0,25.8,0,2020-01-02,0.05689940183840192
20,121,2020,2,6,13,6999,100,0,10,18.8,20.2,21.3,18,19.3,1.2,283,0,96.6,12.9,0,25.2,0,2020-01-02,0.050974283090813755
20,121,2020,2,7,14,6999,100,0,12.9,18.7,20,21.1,18,50.5,1.8,284,0,96.6,14,0,25.4,0.009,2020-01-02,0.054410005120533844
20,121,2020,2,8,15.6,6999,100,0,14.5,18.8,19.8,20.9,18,136.5,1.2,248,0,92.7,15.6,0,25.4,0.068,2020-01-02,0.129534090124501
20,121,2020,2,9,16.9,6999,0.453,0,16.4,19.2,19.8,20.7,18,207.1,0.9,203,0,84.3,16.9,0,25.7,0.118,2020-01-02,0.30268971436917647
20,121,2020,2,10,18.4,6999,-0.084,0,19,19.8,19.9,20.6,18,302,1.1,233,0,77.4,18.4,3,26,0.181,2020-01-02,0.4789994854937656
20,121,2020,2,11,19.6,6999,-0.084,0,21.7,20.6,20.1,20.5,18,379.1,1.1,184,0,74.5,19.6,11,25.4,0.229,2020-01-02,0.5825405104322892
20,121,2020,2,12,22.7,6999,-0.084,0,26.2,21.9,20.5,20.4,18,899,2,79,0,64.1,22.6,59,25.3,0.494,2020-01-02,0.9922246169419988
20,121,2020,2,13,24.4,6999,-0.084,0,28.7,24,21.3,20.5,18,632.4,2.3,51,0,59.2,24.4,22,25.4,0.432,2020-01-02,1.2494440321804696
20,121,2020,2,14,23.1,6999,-0.084,0,26.8,25.3,22.2,20.6,18,498.2,2,103,0,62.4,23.1,3,25,0.348,2020-01-02,1.064720541739731
20,121,2020,2,15,22.3,6999,-0.084,0,26,25.7,22.9,20.9,18,401.7,1.8,119,0,66.6,22.3,2,25.3,0.282,2020-01-02,0.9009434476815499
20,121,2020,2,16,24.9,6999,-0.084,0,26.6,26.1,23.4,21.2,18,622.9,1.6,115,0,59.7,24.9,60,25.5,0.425,2020-01-02,1.271606682094653
20,121,2020,2,17,27.3,6999,-0.084,0,29,27,24,21.5,18,520.4,2.7,47,0,46.9,27.4,56,24.9,0.497,2020-01-02,1.9311701543415465
20,121,2020,2,18,27.7,6999,-0.084,0,28.1,27.2,24.4,21.8,18,333.9,3.3,353,0,44.7,27.7,55,25,0.345,2020-01-02,2.0588416170978685
20,121,2020,2,19,25.8,6999,-0.084,0,24.2,26.9,24.6,22,18,180.8,1.7,345,0,49.4,25.9,41,25,0.281,2020-01-02,1.6844520045185765
20,121,2020,2,20,23.9,6999,2.873,0,19.3,26,24.5,22.2,18,28.7,2.6,336,0,56,23.9,0,24.9,0.106,2020-01-02,1.307581581367512
20,121,2020,2,21,21.6,6999,16.05,0,18,24.9,24.1,22.4,18,0.9,1.6,338,0,65.5,21.7,0,25.3,0.023,2020-01-02,0.891670242719868
20,121,2020,2,22,20.9,6999,38.23,0,17.6,24,23.7,22.4,18,0.4,2.1,337,0,68.4,20.9,0,24.7,0.022,2020-01-02,0.7823595105291361
20,121,2020,2,23,20.4,6999,38.23,0,15.5,23.2,23.3,22.4,18,0.5,2.9,310,0,70.9,20.4,0,25.3,0.017,2020-01-02,0.6985826777570192
20,121,2020,3,0,18.2,6999,83.5,0,14.3,22.5,22.8,22.3,18,0.2,2.1,299,0,77.1,18.3,0,25,0.01,2020-01-03,0.47929841718161925
20,121,2020,3,1,15.5,6999,93.6,0,14,21.8,22.4,22.2,18,0,2,45,0,89.7,15.6,0,24.5,0.004,2020-01-03,0.18159803022017829
20,121,2020,3,2,14.9,6999,77.9,0,13.9,21.2,22,22,18.1,0,4.5,42,0,93,14.9,0,24.9,0.002,2020-01-03,0.11874134971216455
20,121,2020,3,3,15,6999,82.2,0,14.6,20.8,21.6,21.9,18.1,0,4.7,64,0,92.9,15,0,24.8,0.001,2020-01-03,0.12121679205524472
20,121,2020,3,4,14.9,6999,82.1,0,14.6,20.5,21.3,21.7,18.1,0,3.3,77,0,93.3,14.9,0,25.3,0,2020-01-03,0.11365243472450048
20,121,2020,3,5,14.9,6999,84.6,0,14.5,20.3,21,21.5,18.1,0,2.2,86,0,93.4,14.9,0,24.9,0,2020-01-03,0.11195612972861224
20,121,2020,3,6,14.8,6999,26.53,0,14,20,20.8,21.3,18.1,43.9,1.9,78,0,93.6,14.8,0,25.3,0,2020-01-03,0.10786516489642084
20,121,2020,3,7,15.5,6999,1.26,0,15,20,20.6,21.2,18.1,146.6,0.9,95,0,92,15.5,8,24.7,0.035,2020-01-03,0.14104701376324513
