year,doy,totalRain,Tmax,Tmin,Tmean,Rad,Wind,RH,vpd,ET0,ET_Rain,station,vineyard,region
2022,1,0,24.6,12.7,19.62291666666667,33.98328,2.533375,57.422916666666666,1.0490022798743144,10.819458108908371,10.819458108908371,Blenheim,"NA",Marlborough
2022,2,0,28.3,13.1,21.020833333333332,30.07368,2.425,62.65416666666667,1.0825795422652869,9.886821697688289,9.886821697688289,Blenheim,"NA",Marlborough
2022,3,0,27.4,17.1,21.083333333333332,27.08712,1.75,71.92916666666667,0.7779382519561554,8.30860909139449,8.30860909139449,Blenheim,"NA",Marlborough
2022,4,0,23.7,14.8,19.416666666666668,30.35844,2.316666666666667,79.90833333333333,0.5100190946908029,9.06913815005038,9.06913815005038,Blenheim,"NA",Marlborough
2022,5,0,21.6,15,18.2625,24.51168,2.2666666666666666,83.2125,0.38246404118473964,7.230460011694603,7.230460011694603,Blenheim,"NA",Marlborough
2022,6,0,18.6,12.6,16.095833333333335,9.3438,1.9125,77.60416666666667,0.4154458025717811,3.1646879863533792,3.1646879863533792,Blenheim,"NA",Marlborough
2022,7,0,19.5,8.2,14.3875,23.83164,2.1041666666666665,72.43333333333334,0.5106299828264562,6.817942351281192,6.817942351281192,Blenheim,"NA",Marlborough
2022,8,0,25,9.5,17.479166666666668,30.64608,2.0166666666666666,73.07083333333334,0.6596563070009511,8.921436072999287,8.921436072999287,Blenheim,"NA",Marlborough
2022,9,0,28.6,15.7,21.9,28.53252,2.8375,55.791666666666664,1.3418418228474625,10.26376032302485,10.26376032302485,Blenheim,"NA",Marlborough
2022,10,0,25.5,16.3,20.295833333333334,30.34836,2.1416666666666666,66.17083333333333,0.8710604061283257,9.441735240639513,9.441735240639513,Blenheim,"NA",Marlborough
2022,11,0,29,13.8,21.708333333333332,31.78584,2.404166666666667,66.59583333333333,1.04815824904829,10.327594609088349,10.327594609088349,Blenheim,"NA",Marlborough
2022,12,0,21,16.4,18.1375,21.0402,2.7916666666666665,83.6875,0.35211604180968564,6.456087547359056,6.456087547359056,Blenheim,"NA",Marlborough
2022,13,0,18.8,12.1,15.220833333333333,21.88836,2.4166666666666665,70.74583333333334,0.5282906148317804,6.635165686500506,6.635165686500506,Blenheim,"NA",Marlborough
2022,14,0,18.5,9.6,14.641666666666667,22.99968,2.5500000000000003,74.95416666666667,0.4577424163412908,6.791922567644191,6.791922567644191,Blenheim,"NA",Marlborough
2022,15,0,19,9.3,14.945833333333333,31.52088,2.6083333333333334,76.35833333333333,0.45314278240960604,8.881195346631985,8.881195346631985,Blenheim,"NA",Marlborough
2022,16,0,21.6,9,16.066666666666666,32.86224,2.808333333333333,73.04166666666667,0.5992010674073713,9.723372419703349,9.723372419703349,Blenheim,"NA",Marlborough
2022,17,0,23.3,10.6,17.1875,32.57172,2.4625,74.15833333333333,0.608160667536724,9.584124972858758,9.584124972858758,Blenheim,"NA",Marlborough
2022,18,0,21.5,12.6,17.416666666666668,31.89456,2.1333333333333333,76.37916666666666,0.5300744984707079,9.154476740866588,9.154476740866588,Blenheim,"NA",Marlborough
2022,19,0,30.7,12.3,21.9625,29.77344,2.875,63.025,1.2868450017925541,10.54827904326308,10.54827904326308,Blenheim,"NA",Marlborough
2022,20,5.3999999999999995,22.1,13.4,16.975,19.408320000000003,2.566666666666667,73.98333333333333,0.5174454007735703,6.201295173945689,0.8012951739456895,Blenheim,"NA",Marlborough
2022,21,0,21.7,9.7,15.9125,31.26924,2.9416666666666664,71.6125,0.6131644786710592,9.43407799797233,9.43407799797233,Blenheim,"NA",Marlborough
