Date,Time,Temp,Rainfall,year,day,hour
Wed 1st Jan 2014,12 - 1am,12.3,0,2014,1,0
Wed 1st Jan 2014,1 - 2am,11.9,0,2014,1,1
Wed 1st Jan 2014,2 - 3am,11.4,0,2014,1,2
Wed 1st Jan 2014,3 - 4am,10.9,0,2014,1,3
Wed 1st Jan 2014,4 - 5am,10.8,0,2014,1,4
Wed 1st Jan 2014,5 - 6am,9.7,0,2014,1,5
Wed 1st Jan 2014,6 - 7am,11.2,0,2014,1,6
Wed 1st Jan 2014,7 - 8am,14.9,0,2014,1,7
Wed 1st Jan 2014,8 - 9am,17.4,0,2014,1,8
Wed 1st Jan 2014,9 - 10am,19.1,0,2014,1,9
Wed 1st Jan 2014,10 - 11am,20.6,0,2014,1,10
Wed 1st Jan 2014,11 - 12pm,22.8,0,2014,1,11
Wed 1st Jan 2014,12 - 1pm,24.2,0,2014,1,12
Wed 1st Jan 2014,1 - 2pm,25,0,2014,1,13
Wed 1st Jan 2014,2 - 3pm,24.9,0,2014,1,14
Wed 1st Jan 2014,3 - 4pm,25.6,0,2014,1,15
Wed 1st Jan 2014,4 - 5pm,26.3,0,2014,1,16
Wed 1st Jan 2014,5 - 6pm,26.4,0,2014,1,17
Wed 1st Jan 2014,6 - 7pm,23.7,0,2014,1,18
Wed 1st Jan 2014,7 - 8pm,18.4,0,2014,1,19
Wed 1st Jan 2014,8 - 9pm,16.9,0,2014,1,20
Wed 1st Jan 2014,9 - 10pm,16.4,0,2014,1,21
Wed 1st Jan 2014,10 - 11pm,15.6,0,2014,1,22
Wed 1st Jan 2014,11 - 12am,13.4,0,2014,1,23
Thu 2nd Jan 2014,12 - 1am,12.3,0,2014,2,0
Thu 2nd Jan 2014,1 - 2am,11.2,0,2014,2,1
Thu 2nd Jan 2014,2 - 3am,12.2,0,2014,2,2
Thu 2nd Jan 2014,3 - 4am,10.5,0,2014,2,3
Thu 2nd Jan 2014,4 - 5am,11.9,0,2014,2,4
Thu 2nd Jan 2014,5 - 6am,13.2,0,2014,2,5
Thu 2nd Jan 2014,6 - 7am,13,0,2014,2,6
Thu 2nd Jan 2014,7 - 8am,16.3,0,2014,2,7
Thu 2nd Jan 2014,8 - 9am,18.5,0,2014,2,8
Thu 2nd Jan 2014,9 - 10am,20.4,0,2014,2,9
Thu 2nd Jan 2014,10 - 11am,21.6,0,2014,2,10
Thu 2nd Jan 2014,11 - 12pm,22.6,0,2014,2,11
Thu 2nd Jan 2014,12 - 1pm,23.1,0,2014,2,12
Thu 2nd Jan 2014,1 - 2pm,22.6,0,2014,2,13
Thu 2nd Jan 2014,2 - 3pm,24.9,0,2014,2,14
Thu 2nd Jan 2014,3 - 4pm,25.7,0,2014,2,15
Thu 2nd Jan 2014,4 - 5pm,24.6,0,2014,2,16
Thu 2nd Jan 2014,5 - 6pm,22.9,0,2014,2,17
Thu 2nd Jan 2014,6 - 7pm,20.2,0,2014,2,18
Thu 2nd Jan 2014,7 - 8pm,19.6,0,2014,2,19
Thu 2nd Jan 2014,8 - 9pm,17.8,0,2014,2,20
Thu 2nd Jan 2014,9 - 10pm,16.3,0,2014,2,21
Thu 2nd Jan 2014,10 - 11pm,15.6,0,2014,2,22
Thu 2nd Jan 2014,11 - 12am,14.3,0,2014,2,23
Fri 3rd Jan 2014,12 - 1am,13.3,0,2014,3,0
Fri 3rd Jan 2014,1 - 2am,11.7,0,2014,3,1
Fri 3rd Jan 2014,2 - 3am,10.4,0,2014,3,2
Fri 3rd Jan 2014,3 - 4am,10,0,2014,3,3
Fri 3rd Jan 2014,4 - 5am,10.7,0,2014,3,4
Fri 3rd Jan 2014,5 - 6am,16,0,2014,3,5
Fri 3rd Jan 2014,6 - 7am,14.5,0,2014,3,6
Fri 3rd Jan 2014,7 - 8am,18.6,0,2014,3,7
Fri 3rd Jan 2014,8 - 9am,20.8,0,2014,3,8
Fri 3rd Jan 2014,9 - 10am,22.4,0,2014,3,9
Fri 3rd Jan 2014,10 - 11am,23.6,0,2014,3,10
Fri 3rd Jan 2014,11 - 12pm,22.8,0,2014,3,11
Fri 3rd Jan 2014,12 - 1pm,24,0,2014,3,12
Fri 3rd Jan 2014,1 - 2pm,27.2,0,2014,3,13
Fri 3rd Jan 2014,2 - 3pm,28.2,0,2014,3,14
Fri 3rd Jan 2014,3 - 4pm,28.6,0,2014,3,15
Fri 3rd Jan 2014,4 - 5pm,26.2,0,2014,3,16
Fri 3rd Jan 2014,5 - 6pm,26.2,0,2014,3,17
Fri 3rd Jan 2014,6 - 7pm,24.8,0,2014,3,18
Fri 3rd Jan 2014,7 - 8pm,24.4,0,2014,3,19
Fri 3rd Jan 2014,8 - 9pm,23.5,0,2014,3,20
Fri 3rd Jan 2014,9 - 10pm,22.4,0,2014,3,21
Fri 3rd Jan 2014,10 - 11pm,21.1,0,2014,3,22
Fri 3rd Jan 2014,11 - 12am,20.8,0,2014,3,23
Sat 4th Jan 2014,12 - 1am,19.3,0,2014,4,0
Sat 4th Jan 2014,1 - 2am,19.1,0,2014,4,1
Sat 4th Jan 2014,2 - 3am,17.5,0,2014,4,2
Sat 4th Jan 2014,3 - 4am,15.9,0,2014,4,3
Sat 4th Jan 2014,4 - 5am,14.1,0,2014,4,4
Sat 4th Jan 2014,5 - 6am,15,0,2014,4,5
Sat 4th Jan 2014,6 - 7am,15.4,0,2014,4,6
Sat 4th Jan 2014,7 - 8am,18.5,0,2014,4,7
Sat 4th Jan 2014,8 - 9am,21.3,0,2014,4,8
Sat 4th Jan 2014,9 - 10am,23.3,0,2014,4,9
Sat 4th Jan 2014,10 - 11am,24.9,0,2014,4,10
Sat 4th Jan 2014,11 - 12pm,25.2,0,2014,4,11
Sat 4th Jan 2014,12 - 1pm,28,0,2014,4,12
Sat 4th Jan 2014,1 - 2pm,27.4,0,2014,4,13
Sat 4th Jan 2014,2 - 3pm,27.2,0,2014,4,14
Sat 4th Jan 2014,3 - 4pm,26.7,0,2014,4,15
Sat 4th Jan 2014,4 - 5pm,24.5,0,2014,4,16
Sat 4th Jan 2014,5 - 6pm,22.9,0,2014,4,17
Sat 4th Jan 2014,6 - 7pm,21.6,0,2014,4,18
Sat 4th Jan 2014,7 - 8pm,21.4,0,2014,4,19
Sat 4th Jan 2014,8 - 9pm,20.2,0,2014,4,20
Sat 4th Jan 2014,9 - 10pm,19.3,0,2014,4,21
Sat 4th Jan 2014,10 - 11pm,19.3,0,2014,4,22
Sat 4th Jan 2014,11 - 12am,19.3,0,2014,4,23
Sun 5th Jan 2014,12 - 1am,18.7,0,2014,5,0
Sun 5th Jan 2014,1 - 2am,21,0,2014,5,1
Sun 5th Jan 2014,2 - 3am,21.3,0,2014,5,2
Sun 5th Jan 2014,3 - 4am,21.4,0,2014,5,3
Sun 5th Jan 2014,4 - 5am,20.5,0,2014,5,4
Sun 5th Jan 2014,5 - 6am,20.4,0,2014,5,5
Sun 5th Jan 2014,6 - 7am,20.8,0,2014,5,6
Sun 5th Jan 2014,7 - 8am,22,0,2014,5,7
Sun 5th Jan 2014,8 - 9am,23.5,0,2014,5,8
Sun 5th Jan 2014,9 - 10am,24.8,0,2014,5,9
Sun 5th Jan 2014,10 - 11am,26,0,2014,5,10
Sun 5th Jan 2014,11 - 12pm,27.2,0,2014,5,11
Sun 5th Jan 2014,12 - 1pm,28.1,0,2014,5,12
Sun 5th Jan 2014,1 - 2pm,29.4,0,2014,5,13
Sun 5th Jan 2014,2 - 3pm,30.8,0,2014,5,14
