"","formul","R2","logLik","aic","df"
"1","tmean_sev1",0.0138737703267248,64.1968031539783,-122.393606307957,117
"2","tmax_sev1",-0.00011275587652948,63.3588253772744,-120.717650754549,117
"3","tmin_sev1",0.0245959282195034,64.8472899176396,-123.694579835279,117
"4","rh_sev1",0.0811469798989135,68.4009656628487,-130.801931325697,117
"5","rain_sev1",-0.00744256441835445,62.9243411647825,-119.848682329565,117
"6","wetness_sev1",0.0213885373959438,64.6519588959177,-123.303917791835,117
"7","WD_sev1",0.0237709947192283,64.7969899439751,-123.59397988795,117
"8","tmean_sev1 + rain_sev1",0.0078038032288279,64.3424142522164,-120.684828504433,116
"9","tmean_sev1 + rh_sev1",0.0993665193030625,70.103352024366,-132.206704048732,116
"10","tmean_sev1 + wetness_sev1",0.0423309783573941,66.4498231743847,-124.899646348769,116
"11","tmean_sev1 + WD_sev1",0.0460075480461278,66.6786881373657,-125.357376274731,116
"12","tmean_sev1 * rain_sev1",0.00555419772038934,64.7228173945296,-119.445634789059,115
"13","tmean_sev1 * rh_sev1",0.143677448137713,73.620357029724,-137.240714059448,115
"14","tmean_sev1 * wetness_sev1",0.0733203726469309,68.9221902518841,-127.844380503768,115
"15","tmean_sev1 * WD_sev1",0.066361951474215,68.4770748868755,-126.954149773751,115
"16","tmean_sev1 * rh_sev1 + rain_sev1",0.136670794216609,73.6551474525935,-135.310294905187,114
"17","tmean_sev1 * rh_sev1 + wetness_sev1",0.15039805625814,74.608822184299,-137.217644368598,114
"18","tmean_sev1 * rh_sev1 + WD_sev1",0.146894270757395,74.3639468779141,-136.727893755828,114
"19","tmean_sev1 * rain_sev1 + rh_sev1",0.0924013860511516,70.6797820823986,-129.359564164797,114
"20","tmean_sev1 * rain_sev1 + wetness_sev1",0.0439322815458716,67.5842041422761,-123.168408284552,114
"21","tmean_sev1 * rain_sev1 + WD_sev1",0.04822993565732,67.8522676584296,-123.704535316859,114
"22","tmax_sev1 + tmin_sev1 + rain_sev1",0.020227321472827,65.6072858037829,-121.214571607566,115
"23","tmax_sev1 + tmin_sev1 + rh_sev1",0.107249656477872,71.1415957657146,-132.283191531429,115
"24","tmax_sev1 + tmin_sev1 + wetness_sev1",0.0561872968051983,67.8321600957736,-125.664320191547,115
"25","tmax_sev1 + tmin_sev1 + WD_sev1",0.0564449055674998,67.8484025276635,-125.696805055327,115
"26","tmax_sev1 * tmin_sev1 + rain_sev1",0.0145030757078167,65.7803271793939,-119.560654358788,114
"27","tmax_sev1 * tmin_sev1 + rh_sev1",0.0998142849404361,71.1677495340062,-130.335499068012,114
"28","tmax_sev1 * tmin_sev1 + wetness_sev1",0.0561695380485898,68.3506945139106,-124.701389027821,114
"29","tmax_sev1 * tmin_sev1 + WD_sev1",0.0541443851139864,68.2231636533972,-124.446327306794,114
"30","tmax_sev1 + tmin_sev1 + wetness_sev1 + rain_sev1",0.0489851669987892,67.8994997625311,-123.798999525062,114
"31","tmean_sev23",0.000866841659071693,63.4171334199402,-120.83426683988,117
"32","tmax_sev23",0.00133846288767858,63.4452258597562,-120.890451719512,117
"33","tmin_sev23",-0.00588586233534993,63.0163517788143,-120.032703557629,117
"34","rh_sev23",0.136844253257544,72.1215618794514,-138.243123758903,117
"35","rain_sev23",0.294110026466946,84.089139933754,-162.178279867508,117
"36","wetness_sev23",0.0169857324670419,64.3848668312653,-122.769733662531,117
"37","WD_sev23",0.018445060833858,64.4732628556966,-122.946525711393,117
"38","tmean_sev23 + rain_sev23",0.290785267279924,84.3202841345686,-160.640568269137,116
