"","Formula","MSE","Adj_R_squared"
"1","Severity ~tmean_sev1",0.0188907964900587,0.0798199928019477
"2","Severity ~tmax_sev1",0.0193015292297923,0.0598129986234065
"3","Severity ~tmin_sev1",0.0186480675542694,0.0916434388911191
"4","Severity ~rh_sev1",0.0173806972881619,0.1533776691658
"5","Severity ~rain_sev1",0.0195351660071985,0.0484324360500659
"6","Severity ~wetness_sev1",0.0190669717965141,0.0712384067980115
"7","Severity ~WD_sev1",0.0187973147526039,0.0843735343050448
"8","Severity ~tmean_sev1 + rain_sev1",0.0178716299172676,0.129464098850118
"9","Severity ~tmean_sev1 + rh_sev1",0.0145965185634141,0.288996387006911
"10","Severity ~tmean_sev1 + wetness_sev1",0.0165199607751752,0.195304568920002
"11","Severity ~tmean_sev1 + WD_sev1",0.0163782853174846,0.202205650287648
"12","Severity ~tmean_sev1 * rain_sev1",0.0178716299172676,0.129464098850118
"13","Severity ~tmean_sev1 * rh_sev1",0.0145965185634141,0.288996387006911
"14","Severity ~tmean_sev1 * wetness_sev1",0.0165199607751752,0.195304568920002
"15","Severity ~tmean_sev1 * WD_sev1",0.0163782853174846,0.202205650287648
"16","Severity ~tmean_sev1 * rh_sev1 + rain_sev1",0.0127692081388669,0.378005578360899
"17","Severity ~tmean_sev1 * rh_sev1 + wetness_sev1",0.0130438237850555,0.364628914893085
"18","Severity ~tmean_sev1 * rh_sev1 + WD_sev1",0.012547247751964,0.388817378198216
"19","Severity ~tmean_sev1 * rain_sev1 + rh_sev1",0.0127692081388669,0.378005578360899
"20","Severity ~tmean_sev1 * rain_sev1 + wetness_sev1",0.0146123106032856,0.288227148961797
"21","Severity ~tmean_sev1 * rain_sev1 + WD_sev1",0.0149185044693765,0.273312294839482
"22","Severity ~tmax_sev1 + tmin_sev1 + rain_sev1",0.0141773015177078,0.309416655910795
"23","Severity ~tmax_sev1 + tmin_sev1 + rh_sev1",0.0104738980690694,0.489811263084653
"24","Severity ~tmax_sev1 + tmin_sev1 + wetness_sev1",0.012507582276462,0.390749503058708
"25","Severity ~tmax_sev1 + tmin_sev1 + WD_sev1",0.0127153243741741,0.38063028309524
"26","Severity ~tmax_sev1 * tmin_sev1 + rain_sev1",0.0141773015177078,0.309416655910795
"27","Severity ~tmax_sev1 * tmin_sev1 + rh_sev1",0.0104738980690694,0.489811263084653
"28","Severity ~tmax_sev1 * tmin_sev1 + wetness_sev1",0.012507582276462,0.390749503058708
"29","Severity ~tmax_sev1 * tmin_sev1 + WD_sev1",0.0127153243741741,0.38063028309524
"30","Severity ~tmax_sev1 + tmin_sev1 + wetness_sev1 + rain_sev1",0.00860099830209358,0.581041133776656
"31","Severity ~tmean_sev23",0.0200612191648576,0.022808127479698
"32","Severity ~tmax_sev23",0.0197112267938044,0.0398564283644436
"33","Severity ~tmin_sev23",0.0165296996186574,0.19483018505428
"34","Severity ~rh_sev23",0.0167250127930921,0.185316384069137
"35","Severity ~rain_sev23",0.012153362432458,0.408003726234359
"36","Severity ~wetness_sev23",0.0188513296727177,0.0817424409255103
"37","Severity ~WD_sev23",0.0187676446333031,0.0858187804388482
"38","Severity ~tmean_sev23 + rain_sev23",0.0158907502305233,0.225953724651027
"39","Severity ~tmean_sev23 + rh_sev23",0.0166780636547256,0.187603299737451
"40","Severity ~tmean_sev23 + wetness_sev23",0.018667712979133,0.0906865005639327
"41","Severity ~tmean_sev23 + WD_sev23",0.0191877302098788,0.0653562049682656
"42","Severity ~tmean_sev23 * rain_sev23",0.0158907502305233,0.225953724651027
"43","Severity ~tmean_sev23 * rh_sev23",0.0166780636547256,0.187603299737451
"44","Severity ~tmean_sev23 * wetness_sev23",0.018667712979133,0.0906865005639327
"45","Severity ~tmean_sev23 * WD_sev23",0.0191877302098788,0.0653562049682656
"46","Severity ~tmean_sev23 * rh_sev23 + rain_sev23",0.0175904283878069,0.143161563937914
"47","Severity ~tmean_sev23 * rh_sev23 + wetness_sev23",0.0115282299387363,0.43845423809474
"48","Severity ~tmean_sev23 * rh_sev23 + WD_sev23",0.0128309667613604,0.374997285422033
"49","Severity ~tmean_sev23 * rain_sev23 + rh_sev23",0.0175904283878072,0.143161563937901
"50","Severity ~tmean_sev23 * rain_sev23 + wetness_sev23",0.0127485091399728,0.379013836798354
"51","Severity ~tmean_sev23 * rain_sev23 + WD_sev23",0.0152307782084766,0.258101287106481
"52","Severity ~tmax_sev23 + tmin_sev23 + rain_sev23",0.0112703056614017,0.451017856759482
"53","Severity ~tmax_sev23 + tmin_sev23 + rh_sev23",0.0126661158633004,0.383027253911891
"54","Severity ~tmax_sev23 + tmin_sev23 + wetness_sev23",0.0140888995625047,0.313722758716884
"55","Severity ~tmax_sev23 + tmin_sev23 + WD_sev23",0.0147292334885957,0.282531777593898
"56","Severity ~tmax_sev23 * tmin_sev23 + rain_sev23",0.0112703056614017,0.451017856759482
"57","Severity ~tmax_sev23 * tmin_sev23 + rh_sev23",0.0126661158633004,0.383027253911891
"58","Severity ~tmax_sev23 * tmin_sev23 + wetness_sev23",0.0140888995625047,0.313722758716884
"59","Severity ~tmax_sev23 * tmin_sev23 + WD_sev23",0.0147292334885957,0.282531777593898
"60","Severity ~tmax_sev23 + tmin_sev23 + wetness_sev23 + rain_sev23",0.0114728030038566,0.44115411140942
"61","Severity ~sev1",0.0187424152141945,0.0870477178777318
"62","Severity ~sev2",0.0159514399766719,0.222997497205704
"63","Severity ~sev3",0.0121213133223018,0.409564854185196
"64","Severity ~sev1+sev2",0.0245463158240124,-0.195663141229218
"65","Severity ~sev1+sev3",0.00945629133307286,0.539379388713808
"66","Severity ~sev2+sev3",0.010014218323732,0.512202490029259
"67","Severity ~sev1+sev2+sev3",0.00989777481732293,0.517874510614632
"68","Severity ~sev2+sev3+sev23",0.0105020329072952,0.488440801248657
"69","Severity ~sev3+sev23+rh_sev1+rain_sev23",0.00764937775569023,0.627395039590001
